stop,direction,time,average,sd,passenger_count,percentage_out
Vaartsche Rijn,0,375,2.6,2.521486612465374,6,0.0
Vaartsche Rijn,0,390,2.1666666666666665,1.3394467690277294,6,0.16666666666666666
Vaartsche Rijn,0,405,2.6,1.6016296049038141,7,0.0
Vaartsche Rijn,0,420,4.95,2.2342736201337714,8,0.0
Vaartsche Rijn,0,435,7.526315789473684,3.7843663368427443,7,0.0
Vaartsche Rijn,0,450,13.05,3.076460692030761,10,0.1
Vaartsche Rijn,0,465,17.85,4.540114405545478,9,0.0
Vaartsche Rijn,0,480,19.3,4.412573790138375,1,0.0
Vaartsche Rijn,0,495,13.2,3.901800060977881,5,0.0
Vaartsche Rijn,0,510,13.85,4.02151698617033,5,0.2
Vaartsche Rijn,0,525,12.6,3.8170003308126303,13,0.3076923076923077
Vaartsche Rijn,0,540,9.05,3.064957386766768,17,0.17647058823529413
Vaartsche Rijn,0,555,9.571428571428571,3.4954264335529865,4,0.0
Vaartsche Rijn,0,570,7.761904761904762,2.48440178961702,4,0.0
Vaartsche Rijn,0,585,8.19047619047619,2.5633182428404546,1,0.0
Vaartsche Rijn,0,600,7.380952380952381,2.127246074339379,15,0.06666666666666667
Vaartsche Rijn,0,615,8.80952380952381,2.648684192256706,13,0.0
Vaartsche Rijn,0,630,8.285714285714286,2.7066362735292424,27,0.18518518518518517
Vaartsche Rijn,0,645,11.952380952380953,4.467249119961071,7,0.0
Vaartsche Rijn,0,660,11.333333333333334,3.2917760363797854,75,0.0
Vaartsche Rijn,0,675,9.25,3.1958851813786007,35,0.0
Vaartsche Rijn,0,690,10.142857142857142,3.275998753383132,28,0.03571428571428571
Vaartsche Rijn,0,705,9.761904761904763,2.7674591348274054,17,0.0
Vaartsche Rijn,0,720,17.095238095238095,5.163101876389734,86,0.023255813953488372
Vaartsche Rijn,0,735,16.61904761904762,4.2386376800472165,76,0.039473684210526314
Vaartsche Rijn,0,750,20.19047619047619,6.970474658203076,145,0.05517241379310345
Vaartsche Rijn,0,765,22.428571428571427,6.0953399424547685,48,0.0
Vaartsche Rijn,0,780,13.714285714285714,4.250083922117246,59,0.01694915254237288
Vaartsche Rijn,0,795,16.714285714285715,5.439846907901735,15,0.0
Vaartsche Rijn,0,810,22.761904761904763,5.3590495581568,53,0.03773584905660377
Vaartsche Rijn,0,825,15.523809523809524,4.878132313025958,72,0.125
Vaartsche Rijn,0,840,18.761904761904763,5.10779612991466,32,0.0625
Vaartsche Rijn,0,855,27.761904761904763,7.8320511771199275,76,0.06578947368421052
Vaartsche Rijn,0,870,19.19047619047619,6.743072149800053,87,0.06896551724137931
Vaartsche Rijn,0,885,14.19047619047619,4.156005956351316,69,0.10144927536231885
Vaartsche Rijn,0,900,17.571428571428573,5.576478762141517,124,0.04032258064516129
Vaartsche Rijn,0,915,11.285714285714286,5.272509379672089,73,0.0547945205479452
