stop,direction,time,average,sd,passenger_count,percentage_out
Vaartsche Rijn,0,375,26.75,9.683817211692592,6,0.0
Vaartsche Rijn,0,390,11.944444444444445,7.847609019329482,6,0.16666666666666666
Vaartsche Rijn,0,405,20.05,7.578834684690359,7,0.0
Vaartsche Rijn,0,420,32.3,10.761885607001304,8,0.0
Vaartsche Rijn,0,435,72.10526315789474,29.012039099284504,7,0.0
Vaartsche Rijn,0,450,95.85,21.82908074642096,10,1.1
Vaartsche Rijn,0,465,136.2,28.333997980611727,9,0.4444444444444444
Vaartsche Rijn,0,480,144.35,24.416931470663226,1,1.0
Vaartsche Rijn,0,495,90.9,21.26563712669742,5,1.2
Vaartsche Rijn,0,510,104.1,23.393683052902574,5,0.8
Vaartsche Rijn,0,525,90.33333333333333,20.55497201821221,13,1.6923076923076923
Vaartsche Rijn,0,540,70.05,17.519750280737348,17,0.47058823529411764
Vaartsche Rijn,0,555,72.33333333333333,16.54454514957571,4,0.0
Vaartsche Rijn,0,570,63.80952380952381,12.201466693544846,4,2.75
Vaartsche Rijn,0,585,62.476190476190474,12.971189607525153,1,4.0
Vaartsche Rijn,0,600,62.095238095238095,10.122134571977629,15,0.2
Vaartsche Rijn,0,615,74.0,13.482785589275565,13,1.2307692307692308
Vaartsche Rijn,0,630,68.76190476190476,12.984016292697222,27,0.4074074074074074
Vaartsche Rijn,0,645,108.52380952380952,21.626363215328762,7,3.4285714285714284
Vaartsche Rijn,0,660,94.47619047619048,18.605073822208407,75,0.0
Vaartsche Rijn,0,675,82.8,18.88595445440668,35,0.37142857142857144
Vaartsche Rijn,0,690,90.28571428571429,16.707939572408225,28,0.2857142857142857
Vaartsche Rijn,0,705,75.19047619047619,15.519565227481586,17,0.23529411764705882
Vaartsche Rijn,0,720,136.04761904761904,27.393707247168187,86,0.20930232558139536
Vaartsche Rijn,0,735,178.33333333333334,27.725562034401698,76,0.21052631578947367
Vaartsche Rijn,0,750,201.85714285714286,38.335276138996285,145,0.14482758620689656
Vaartsche Rijn,0,765,211.85714285714286,42.285727455949875,48,0.4583333333333333
Vaartsche Rijn,0,780,146.52380952380952,29.948400899178417,59,0.5932203389830508
Vaartsche Rijn,0,795,181.04761904761904,29.213839078620797,15,1.9333333333333333
Vaartsche Rijn,0,810,185.47619047619048,33.44962852808865,53,0.18867924528301888
Vaartsche Rijn,0,825,131.23809523809524,28.547917727171924,72,0.3611111111111111
Vaartsche Rijn,0,840,175.52380952380952,34.25690500335601,32,0.40625
Vaartsche Rijn,0,855,275.14285714285717,54.81470375959126,76,0.06578947368421052
Vaartsche Rijn,0,870,182.23809523809524,47.760818147598854,87,0.26436781609195403
Vaartsche Rijn,0,885,148.0,28.832962264024488,69,0.4057971014492754
Vaartsche Rijn,0,900,168.33333333333334,32.01644709544431,124,0.2903225806451613
Vaartsche Rijn,0,915,115.23809523809524,28.748982038569093,73,0.4246575342465753
Vaartsche Rijn,0,930,182.28571428571428,32.57898510190688,70,0.5
Vaartsche Rijn,0,945,169.0952380952381,34.20054006356141,127,0.2047244094488189
Vaartsche Rijn,0,960,171.04761904761904,36.14343301145986,111,0.17117117117117117
Vaartsche Rijn,0,975,240.61904761904762,39.04351083347856,76,0.4605263157894737
Vaartsche Rijn,0,990,168.85714285714286,36.09636505705915,137,0.16058394160583941
Vaartsche Rijn,0,1005,148.04761904761904,37.50621665375591,110,0.16363636363636364
Vaartsche Rijn,0,1020,108.14285714285714,23.592937763847196,112,0.08035714285714286
Vaartsche Rijn,0,1035,78.9047619047619,14.862579533723961,56,0.14285714285714285
Vaartsche Rijn,0,1050,122.05,31.463866275703243,31,0.7096774193548387
Vaartsche Rijn,0,1065,127.7,32.36001581801923,58,0.46551724137931033
Vaartsche Rijn,0,1080,143.05,40.569804209602026,108,0.2777777777777778
Vaartsche Rijn,0,1095,163.95,73.46578406694799,104,0.375
Vaartsche Rijn,0,1110,152.45,52.85316587355145,13,0.9230769230769231
Vaartsche Rijn,0,1125,73.35,35.15673544899796,121,0.2066115702479339
