average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
133,715,584,164,1.126689,2710.7834,2926,65,0,420,43210,38414,3881,Padualaan,6523,25154,46.736294
124,554,518,98,0.46457076,2700.5642,2929,65,0,420,43469,38085,3784,Heidelberglaan,2228,16940,37.760418
125,726,485,65,0.45614034,2704.983,3016,63,0,420,42695,38109,3827,Padualaan,2476,19739,38.020832
122,475,542,122,0.6088068,2701.3806,2806,64,0,420,43020,38296,3789,Heidelberglaan,998,16020,36.623375
122,520,532,112,0.6283454,2700.8406,2809,64,0,420,42953,37748,3861,Heidelberglaan,1008,19124,40.104168
121,543,483,63,0.18281536,2700.728,2855,64,0,420,43160,37569,3865,Heidelberglaan,854,17358,38.020832
122,475,493,73,0.38014,2701.0994,2795,63,0,420,43120,37822,3841,WKZ,1180,17445,37.402596
121,498,467,47,0.11975496,2701.4043,2851,66,0,420,43369,37774,3886,Heidelberglaan,997,17010,38.28125
120,489,471,51,0.16301058,2701.6787,2869,63,0,420,42928,38250,3889,Heidelberglaan,1502,17595,38.28125
120,455,491,71,0.43087387,2701.6028,2793,63,0,420,42921,37987,3925,Kromme Rijn,666,16744,37.66234
122,501,557,137,0.38493645,2700.5413,2818,64,0,420,43114,38223,3886,WKZ,915,16866,38.18182
121,487,482,62,0.25393128,2700.636,2872,65,0,420,42921,38246,3810,Galgenwaard,796,16475,37.142857
120,406,469,49,0.15294063,2701.1267,2775,63,0,420,43138,38244,3808,WKZ,806,15604,36.197918
120,468,456,36,0.13439302,2701.641,2779,64,0,420,43145,37789,3852,Heidelberglaan,963,17586,37.142857
120,514,501,81,0.24544993,2700.5144,2775,65,0,420,43173,37968,3855,WKZ,302,15906,34.805195
120,548,498,78,0.32057983,2701.2932,2862,64,0,420,43037,37976,3826,Kromme Rijn,550,16581,36.71875
