average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
130,463,604,184,3.4259784,2700,2803,112,0,420,8760,10648,5646,Vaartsche Rijn,103,671,9.230769
123,376,536,116,1.7743403,2700,2700,108,0,420,8662,10670,5665,UMC,0,329,4.6153846
122,341,475,55,1.1755573,2700,2700,111,0,420,8873,10309,5594,Galgenwaard,0,0,0
119,323,444,24,0.37952846,2700,2700,105,0,420,8634,10658,5612,Padualaan,0,61,1.5384616
118,451,485,65,0.76067877,2700,2700,102,0,420,8419,10655,5663,Kromme Rijn,0,209,1.5384616
121,332,428,8,0.24977294,2700,2700,108,0,420,8784,10665,5643,Padualaan,0,75,1.5384616
119,406,442,22,0.3285002,2700,2700,106,0,420,8700,10345,5610,Vaartsche Rijn,0,68,1.5384616
124,388,508,88,1.2306978,2700,2700,109,0,420,8574,10316,5586,WKZ,0,213,3.0769231
119,351,448,28,0.504298,2700,2700,106,0,420,8568,10348,5669,Vaartsche Rijn,0,72,1.5384616
120,422,481,61,1.4208778,2704.6667,2776,110,0,420,8698,9300,5607,Heidelberglaan,76,249,4.6153846
120,360,460,40,0.5668016,2700,2700,108,0,420,8571,10674,5631,Heidelberglaan,0,81,1.5384616
120,429,519,99,1.2452322,2700,2734,110,0,420,8765,10673,5697,Vaartsche Rijn,0,188,3.0769231
121,540,494,74,1.6302463,2700,2700,103,0,420,8609,9659,5694,UMC,0,309,6.1538463
118,337,467,47,0.8564815,2700,2700,106,0,420,8616,10333,5622,Kromme Rijn,0,143,3.0769231
120,354,446,26,0.5200679,2700,2739,111,0,420,8790,10313,5581,Kromme Rijn,0,220,3.0769231
125,407,538,118,3.1074083,2700,2760,113,0,420,8848,10325,5640,Kromme Rijn,60,479,6.1538463
127,358,510,90,2.2534556,2700,2700,108,0,420,8592,9990,5574,WKZ,0,248,3.0769231
123,376,498,78,1.7700139,2700,2700,107,0,420,8621,10662,5625,Padualaan,0,326,4.6153846
119,343,461,41,0.72349083,2700,2723,107,0,420,8675,10662,5644,Galgenwaard,0,321,4.6153846
121,471,495,75,2.1525977,2700,2700,112,0,420,8857,9996,5600,Kromme Rijn,0,136,3.0769231
116,343,420,0,0,2700,2700,107,0,420,8590,10695,5616,Vaartsche Rijn,0,291,3.0769231
