average_waiting_time;longest_waiting_time;longest_queue;most_left_waiting;percentage_left_waiting;average_rtt;max_rtt;avg_tram_load;lowest_tram_load;highest_tram_load;total_passengers;average_empty_time;longest_empty_time;longest_empty_time_station;total_delay_pr;total_delay_uc;punctuality
117;390;0;0;0;2700;2700;15;0;107;8207;37318;3790;UMC;0;665;2,3376622
117;377;0;0;0;2700;2700;15;0;93;8157;38022;3815;UMC;0;730;2,5974026
115;406;0;0;0;2700;2700;15;0;92;8230;37774;3773;UMC;0;689;2,3376622
115;393;0;0;0;2700;2700;15;0;84;8054;37783;3765;Kromme Rijn;0;378;1,2987013
116;391;0;0;0;2700,0002;2715;15;0;97;8291;37985;3826;UMC;0;520;1,5584415
116;373;0;0;0;2700;2700;15;0;96;8180;37991;3828;Kromme Rijn;0;551;1,8181819
116;408;0;0;0;2700;2700;15;0;90;8257;37955;3806;Kromme Rijn;0;694;2,3376622
119;416;0;0;0;2700;2700;15;0;82;8198;37988;3774;UMC;0;984;3,3766234
117;359;0;0;0;2700;2700;15;0;111;8123;37980;3841;UMC;0;917;3,116883
118;394;0;0;0;2700;2700;14;0;90;8115;37759;3801;Kromme Rijn;0;370;1,2987013
113;356;0;0;0;2700;2700;15;0;90;8155;38000;3795;UMC;0;150;0,5194805
116;348;0;0;0;2700;2700;15;0;81;8185;37994;3810;UMC;0;210;0,77922076
116;401;0;0;0;2700;2700;15;0;119;8230;37999;3804;UMC;0;691;2,3376622
115;434;0;0;0;2700;2700;14;0;81;7958;37534;3776;Kromme Rijn;0;395;1,2987013
117;408;0;0;0;2700;2700;15;0;92;8072;37734;3749;Padualaan;0;457;1,5584415
116;353;0;0;0;2700;2700;14;0;83;7928;37999;3841;UMC;0;378;1,2987013
114;389;0;0;0;2700;2700;14;0;99;8075;37568;3855;Padualaan;0;461;1,5584415
116;392;0;0;0;2700;2700;14;0;99;8017;38003;3846;UMC;0;805;2,857143
116;413;0;0;0;2700;2700;15;0;84;8132;37949;3834;UMC;0;397;1,2987013
117;375;0;0;0;2700;2700;15;0;79;8201;38007;3825;UMC;0;377;1,2987013
117;403;0;0;0;2700;2700;15;0;84;8150;37990;3795;UMC;0;687;2,3376622
116;402;0;0;0;2700;2729;15;0;87;8296;37961;3916;Padualaan;0;225;0,77922076
115;427;0;0;0;2700;2700;15;0;92;8110;37996;3795;UMC;0;600;2,077922
116;393;0;0;0;2700;2700;15;0;85;8129;37977;3810;UMC;0;225;0,77922076
116;380;0;0;0;2700;2700;15;0;92;8053;37963;3811;UMC;0;450;1,5584415
114;352;0;0;0;2700;2700;15;0;92;8233;38012;3785;UMC;0;451;1,5584415
117;402;0;0;0;2700;2700;15;0;99;8235;37786;3825;UMC;0;292;1,038961
117;362;0;0;0;2700;2700;15;0;96;8168;37997;3918;UMC;0;307;1,038961
118;403;0;0;0;2700,0608;2711;15;0;83;8097;37547;3811;UMC;0;730;2,3376622
116;418;0;0;0;2700;2700;15;0;85;8162;37961;3825;UMC;0;649;2,0725389
116;370;0;0;0;2700;2704;14;0;96;8049;37738;3805;UMC;0;662;2,3376622
116;408;0;0;0;2700;2700;15;0;94;8127;37746;3817;UMC;0;232;0,77922076
116;392;0;0;0;2700;2700;15;0;92;8033;38002;3843;UMC;0;597;2,077922
114;350;0;0;0;2700;2700;15;0;82;8187;37994;3812;Kromme Rijn;0;75;0,25974026
117;392;0;0;0;2700;2700;15;0;94;8231;37937;3795;UMC;0;395;1,2987013
116;357;0;0;0;2700;2700;14;0;100;8092;37955;3825;UMC;0;508;1,8181819
118;413;0;0;0;2700;2700;15;0;82;8115;37994;3777;UMC;0;549;1,8181819
114;354;0;0;0;2700;2700;15;0;89;8113;37702;3801;UMC;0;380;1,2987013
117;365;0;0;0;2700;2700;15;0;88;8273;37950;3785;Vaartsche Rijn;0;586;2,077922
115;356;0;0;0;2700;2700;15;0;97;8241;37732;3828;Vaartsche Rijn;0;375;1,2987013
116;381;0;0;0;2700;2700;15;0;90;8080;37769;3845;Galgenwaard;0;655;2,077922
116;391;0;0;0;2700;2700;15;0;86;8091;37974;3769;UMC;0;561;1,8181819
117;402;0;0;0;2700;2700;15;0;102;8267;37769;3809;Kromme Rijn;0;815;2,857143
116;385;0;0;0;2700;2700;15;0;104;8141;37784;3797;UMC;0;75;0,25974026
117;391;0;0;0;2700;2700;15;0;100;8121;38018;3825;UMC;0;631;2,077922
117;382;0;0;0;2700;2700;15;0;102;8086;37994;3825;UMC;0;380;1,2987013
116;401;0;0;0;2700;2700;15;0;96;8183;37998;3806;UMC;0;366;1,2987013
116;365;0;0;0;2700;2700;15;0;95;8089;37972;3810;UMC;0;454;1,5584415
116;344;0;0;0;2700;2700;14;0;98;7948;37985;3825;UMC;0;300;1,038961
117;399;0;0;0;2700;2700;15;0;81;8161;38012;3775;UMC;0;575;2,077922
