average_waiting_time;longest_waiting_time;longest_queue;most_left_waiting;percentage_left_waiting;average_rtt;max_rtt;avg_tram_load;lowest_tram_load;highest_tram_load;total_passengers;average_empty_time;longest_empty_time;longest_empty_time_station;total_delay_pr;total_delay_uc;punctuality
117;394;0;0;0;2700;2700;60;0;363;32328;38124;3800;UMC;0;1548;4,6753244
117;389;0;0;0;2700;2700;61;0;313;32773;38178;3827;UMC;0;1518;5,194805
119;394;96;96;147,99154334038056;2700;2700;61;0;420;32650;37718;3785;Kromme Rijn;0;907;3,116883
116;413;0;0;0;2700,0938;2717;60;0;297;32263;37960;3786;Padualaan;0;1536;4,935065
117;437;0;0;0;2700;2700;61;0;304;32548;38186;3834;UMC;0;1324;4,155844
118;420;87;87;111,8107826938376;2700,0608;2711;61;0;420;32687;38175;3817;UMC;0;1184;3,6363637
117;438;0;0;0;2700;2700;60;0;335;32428;37900;3825;UMC;0;1355;4,155844
119;386;0;0;0;2700;2700;60;0;412;32578;38151;3799;UMC;0;1265;4,155844
118;440;0;0;0;2700;2700;61;0;357;32533;38171;3812;UMC;0;1767;5,4545455
117;414;0;0;0;2700;2700;60;0;373;32489;37893;3784;Kromme Rijn;0;1045;3,116883
118;406;0;0;0;2700;2700;60;0;325;32514;37886;3794;UMC;0;1332;4,155844
116;407;0;0;0;2699,9998;2722;61;0;323;32744;37689;3773;Padualaan;0;1101;3,6363637
117;455;46;46;59,65909090909091;2700;2700;60;0;420;32396;38160;3835;Kromme Rijn;0;1648;5,194805
116;365;0;0;0;2700;2700;61;0;349;32741;37932;3786;Kromme Rijn;0;1042;3,3766234
117;456;13;13;16,625626994984042;2700;2700;61;0;420;32910;38158;3780;UMC;0;903;2,857143
117;390;17;17;21,87231956868031;2700,0005;2705;60;0;420;32650;38141;3774;UMC;0;1314;4,4155846
119;421;0;0;0;2700;2719;60;0;346;32421;38146;3794;UMC;0;1613;5,194805
118;377;0;0;0;2700;2706;61;0;390;32814;37893;3791;UMC;0;1399;4,935065
118;394;0;0;0;2700;2719;61;0;336;32525;38116;3879;UMC;0;1430;4,4155846
117;419;0;0;0;2700;2700;60;0;377;32538;37894;3812;Padualaan;0;1872;5,714286
117;436;0;0;0;2700;2700;61;0;418;32791;37935;3815;UMC;0;1612;5,194805
117;427;0;0;0;2700;2700;60;0;328;32392;37870;3820;Kromme Rijn;0;1528;4,6753244
119;380;0;0;0;2700;2700;60;0;418;32330;37906;3800;Kromme Rijn;0;1422;4,935065
120;426;60;60;76,96817931961155;2699,9998;2705;61;0;420;32771;38173;3809;Vaartsche Rijn;0;1500;4,4155846
116;382;0;0;0;2700;2700;60;0;332;32418;38126;3825;Kromme Rijn;0;1160;3,8961039
118;379;0;0;0;2700;2702;60;0;402;32345;37962;3825;UMC;0;1514;4,935065
117;445;0;0;0;2700;2700;61;0;371;32630;37967;3780;UMC;0;1059;3,116883
117;392;0;0;0;2700;2700;61;0;342;32586;37897;3825;Kromme Rijn;0;1603;5,194805
119;407;32;32;41,5481637195499;2700;2738;60;0;420;32344;37947;3818;Vaartsche Rijn;0;1697;5,714286
117;387;0;0;0;2700;2700;60;0;363;32479;38154;3801;UMC;0;825;2,857143
117;368;4;4;5,175970686947686;2700;2700;61;0;420;32473;37912;3808;UMC;0;1759;5,714286
117;387;0;0;0;2700;2700;61;0;361;32475;37941;3815;Heidelberglaan;0;1466;4,935065
118;431;0;0;0;2700;2732;61;0;380;32730;38168;3814;UMC;0;1259;4,155844
118;475;0;0;0;2700;2700;61;0;368;32647;38157;3796;UMC;0;1552;4,155844
117;402;36;36;46,25267665952891;2700;2700;61;0;420;32704;37710;3843;UMC;0;1257;4,4155846
117;402;0;0;0;2700;2700;60;0;312;32344;38003;3798;Kromme Rijn;0;1343;4,4155846
117;419;46;46;59,51237532323606;2700;2734;60;0;420;32496;38113;3810;UMC;0;1395;4,6753244
118;399;0;0;0;2700;2700;60;0;373;32548;37942;3830;UMC;0;1675;5,4545455
119;391;8;8;10,385435662844248;2700;2700;60;0;420;32351;37942;3820;UMC;0;1437;4,6753244
116;399;0;0;0;2700;2700;61;0;386;32812;38198;3809;UMC;0;831;2,5974026
118;432;0;0;0;2699,9995;2727;60;0;378;32538;38144;3803;UMC;0;1427;4,4155846
118;411;0;0;0;2700;2700;61;0;378;32731;37882;3813;UMC;0;1029;3,3766234
116;394;0;0;0;2700;2700;60;0;350;32536;38171;3841;UMC;0;906;3,116883
118;380;0;0;0;2700;2700;61;0;364;32722;37976;3794;UMC;0;1243;4,155844
118;387;0;0;0;2700;2700;60;0;382;32636;38190;3847;Padualaan;0;1342;4,4155846
117;400;0;0;0;2700;2702;60;0;344;32555;37911;3886;UMC;0;1202;3,8961039
116;405;0;0;0;2700;2700;61;0;321;32717;37903;3778;UMC;0;1158;3,6363637
118;397;18;18;23,041053305293957;2700;2700;61;0;420;32817;38166;3797;UMC;0;1227;4,155844
118;404;0;0;0;2700;2700;60;0;383;32445;38186;3864;UMC;0;1107;3,3766234
118;431;0;0;0;2700;2700;60;0;351;32394;38122;3818;UMC;0;1621;4,6753244
