average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
78,319,0,0,0,2447.9995,2500,54,0,416,42785,36378,3727,WKZ,0,2806,5.9900165
78,349,47,47,45.97540525433203,2447.9363,2503,53,0,420,42945,36321,3808,Heidelberglaan,0,2242,4.9916806
77,331,0,0,0,2448.0608,2514,54,0,403,43494,36518,3722,Padualaan,198,2488,6.3227954
77,285,0,0,0,2448.1555,2514,54,0,367,43340,36528,3765,Heidelberglaan,132,3170,7.3333335
78,373,0,0,0,2448,2554,54,0,314,43040,36769,3744,Heidelberglaan,264,3115,7.1547422
77,332,0,0,0,2447.9993,2496,54,0,377,43235,36526,3727,Vaartsche Rijn,66,2317,4.825291
77,300,0,0,0,2448,2487,54,0,366,43111,36046,3736,Heidelberglaan,0,2648,5.4908485
77,305,0,0,0,2448.0002,2517,54,0,308,43154,36323,3699,Heidelberglaan,69,3270,7.1547422
78,360,0,0,0,2448.0386,2514,54,0,360,43144,36563,3780,Galgenwaard,66,3416,7.65391
77,335,0,0,0,2447.9993,2494,54,0,350,43216,36745,3744,Heidelberglaan,66,2504,5.8236275
76,311,0,0,0,2448.3809,2514,54,0,304,42881,36545,3734,Heidelberglaan,66,2558,6
78,356,0,0,0,2448.1682,2560,55,0,364,43292,36721,3786,Galgenwaard,200,3332,6.156406
77,286,19,19,18.43552187774338,2448.0598,2489,54,0,420,43297,36269,3744,Galgenwaard,0,2223,5.324459
76,287,0,0,0,2447.9998,2501,54,0,317,43336,36306,3753,Heidelberglaan,0,1727,4.3333335
76,328,0,0,0,2447.9087,2514,55,0,312,43264,36755,3767,Galgenwaard,66,2299,5.324459
77,318,0,0,0,2447.9502,2486,54,0,396,43082,36537,3758,Galgenwaard,0,2335,5.324459
78,305,0,0,0,2448.254,2501,54,0,337,43096,36491,3818,Kromme Rijn,0,1965,4.4925127
77,311,0,0,0,2447.9631,2514,54,0,387,43212,36731,3725,Galgenwaard,66,2576,5.4908485
78,316,0,0,0,2447.81,2514,54,0,366,43157,36829,3756,WKZ,66,2801,6.489185
78,368,12,12,11.67234072118391,2448.0981,2575,54,0,420,43199,36802,3733,Vaartsche Rijn,525,3939,8.153078
79,358,0,0,0,2448.1013,2501,54,0,339,42891,36506,3733,WKZ,0,3633,7.321131
80,341,74,74,84.2570562164684,2447.9993,2514,53,0,420,42849,36534,3744,WKZ,132,4236,8.652246
78,343,0,0,0,2448.001,2538,54,0,397,43362,36140,3774,Heidelberglaan,228,3499,7.4875207
82,370,106,106,103.80041967824667,2448.0002,2643,54,0,420,42893,36454,3756,Heidelberglaan,1467,5414,12.645591
77,302,0,0,0,2447.9688,2504,55,0,336,43476,36461,3715,WKZ,0,2115,4.825291
77,320,0,0,0,2447.7874,2514,54,0,348,42932,36074,3752,Galgenwaard,66,3168,7
78,343,0,0,0,2447.9849,2514,54,0,320,43051,36561,3757,Padualaan,132,3088,6.489185
77,294,0,0,0,2448.0005,2514,54,0,298,42999,36538,3778,Heidelberglaan,66,3115,6.988353
77,307,0,0,0,2448.0005,2514,54,0,339,43002,36306,3751,Vaartsche Rijn,66,2358,5.657238
77,330,0,0,0,2447.9995,2514,54,0,359,43456,36730,3763,WKZ,192,2442,5.8236275
77,304,26,26,25.15607362528508,2447.9497,2514,54,0,420,43410,36503,3722,Heidelberglaan,66,2334,5.324459
78,325,52,52,50.67047141796584,2447.9995,2495,54,0,420,43117,36043,3763,UMC,0,2895,6.489185
77,381,0,0,0,2448.4902,2526,54,0,368,43030,36275,3744,Galgenwaard,210,3474,7.65391
78,289,18,18,17.523933149440207,2448.1094,2523,54,0,420,43167,36132,3763,Heidelberglaan,75,3069,6.8219633
83,418,199,199,388.07223855522886,2448.0005,2713,53,0,420,42870,36871,3743,Vaartsche Rijn,3602,12158,16.971714
77,284,17,17,16.507907148802367,2448.1167,2481,54,0,420,43250,36312,3769,Kromme Rijn,0,2545,5.657238
77,300,0,0,0,2447.9995,2492,54,0,405,43019,36348,3732,Galgenwaard,0,2393,5.324459
79,294,0,0,0,2448,2526,53,0,407,42788,36535,3773,Galgenwaard,144,3169,7.4875207
77,283,11,11,10.720501218238775,2448,2492,54,0,420,43085,36311,3767,Galgenwaard,0,2208,5.324459
79,322,0,0,0,2448.0002,2506,54,0,411,43103,36310,3705,WKZ,0,3477,7.1547422
77,286,0,0,0,2448.0007,2517,54,0,384,43091,36310,3773,Vaartsche Rijn,69,2848,6.655574
77,292,0,0,0,2448.074,2476,54,0,401,43177,36745,3741,Heidelberglaan,0,2153,4.825291
78,341,0,0,0,2448.039,2526,54,0,415,43205,36321,3788,Galgenwaard,78,2697,5.657238
76,326,0,0,0,2447.9363,2494,54,0,297,43133,36493,3814,WKZ,0,1607,3.826955
78,388,0,0,0,2448.011,2516,54,0,418,43257,36127,3743,Padualaan,134,3566,7.1547422
77,315,0,0,0,2448,2514,54,0,352,43183,36752,3725,WKZ,66,2245,5.324459
76,317,0,0,0,2447.9993,2508,54,0,333,42971,36265,3752,Galgenwaard,60,2192,4.6589017
77,315,0,0,0,2447.8594,2496,54,0,384,43085,36271,3781,Galgenwaard,0,2476,5.657238
78,324,0,0,0,2448,2514,54,0,386,43318,36303,3718,WKZ,132,2384,5.4908485
79,295,25,25,24.403848835587784,2448.0151,2523,54,0,420,43052,36559,3757,Galgenwaard,267,5359,10.648918
