average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
65,251,0,0,0,2356.7437,2394,43,0,226,7869,30246,36124,Vaartsche Rijn,0,72,0.86206895
66,246,0,0,0,2355.8203,2373,44,0,211,8061,27975,36113,Kromme Rijn,0,57622,0.85470086
67,275,0,0,0,2351.5754,2400,44,0,197,8022,25740,36184,Padualaan,65,0,0.84745765
69,266,0,0,0,2354.3076,2374,43,0,254,7840,32471,36112,Kromme Rijn,0,0,0
68,343,0,0,0,2364.3684,2449,44,0,197,7967,34735,36119,Padualaan,255,375,5.2173915
66,249,0,0,0,2356,2394,42,0,183,7824,27956,36177,UMC,0,0,0
67,248,0,0,0,2356.4102,2369,44,0,197,7968,34732,36194,UMC,0,0,0
68,272,0,0,0,2359.9487,2415,44,0,225,8069,32470,36102,Galgenwaard,0,135,1.7391304
69,276,0,0,0,2360.0513,2412,45,0,216,8099,37010,36125,Padualaan,0,246,2.6086957
67,240,0,0,0,2353.3003,2377,43,0,234,7879,32480,36168,Heidelberglaan,0,0,0
66,258,0,0,0,2355.8462,2385,43,0,213,7967,34738,36150,Kromme Rijn,0,57627,0.85470086
67,249,0,0,0,2356,2409,43,0,220,7876,34738,36214,Vaartsche Rijn,0,57695,1.7094017
65,241,0,0,0,2355.3333,2362,42,0,196,7878,34717,36143,Galgenwaard,0,64,0.86206895
68,285,0,0,0,2355.5642,2360,43,0,219,7867,27966,36153,WKZ,0,0,0
69,373,0,0,0,2357.3845,2393,44,0,222,8084,36977,36160,Padualaan,0,264,2.586207
65,246,0,0,0,2354.175,2376,43,0,248,8079,32466,36164,UMC,57612,0,0.85470086
66,237,0,0,0,2357.0771,2412,42,0,238,7974,27957,36090,Vaartsche Rijn,0,60,0.86206895
67,270,0,0,0,2354.8208,2385,44,0,205,8143,34724,36132,Padualaan,0,121,1.7241379
66,232,0,0,0,2354.846,2404,43,0,221,7977,30224,36163,Padualaan,0,62,0.86206895
67,263,0,0,0,2355.6147,2408,44,0,209,8051,34730,36162,UMC,0,0,0
68,261,0,0,0,2355.0513,2412,44,0,216,7994,30240,36162,UMC,0,57857,3.4188035
66,254,0,0,0,2354.513,2404,42,0,205,7685,34713,36157,Padualaan,0,57628,0.85470086
67,287,0,0,0,2356.513,2399,44,0,241,8070,30240,36159,UMC,0,0,0
67,288,0,0,0,2358.8975,2436,44,0,183,8020,36989,36203,Kromme Rijn,276,263,6.034483
66,234,0,0,0,2356.718,2378,44,0,198,7945,36975,36138,WKZ,0,0,0
68,278,0,0,0,2356.2563,2395,44,0,263,8052,32466,36173,UMC,0,186,1.7391304
68,247,0,0,0,2359.205,2412,44,0,238,8025,34728,36103,WKZ,0,62,0.8695652
67,281,0,0,0,2357.18,2376,42,0,223,7846,25721,36163,UMC,0,60,0.86206895
67,240,0,0,0,2354.4617,2412,43,0,210,7885,36980,36122,WKZ,0,0,0
68,301,0,0,0,2360.1543,2412,43,0,224,7895,34718,36115,WKZ,0,274,2.586207
67,294,0,0,0,2355.8718,2377,43,0,227,7950,34730,36175,Kromme Rijn,0,0,0
67,278,0,0,0,2364.2563,2412,43,0,232,7906,32471,36115,Vaartsche Rijn,0,166,1.7391304
67,259,0,0,0,2356.0513,2388,42,0,213,7889,36966,36138,Kromme Rijn,0,82,0.86206895
67,244,0,0,0,2358.1538,2412,44,0,193,8061,36971,36111,Padualaan,0,0,0
69,318,0,0,0,2353.2312,2399,44,0,242,7990,30232,36203,Vaartsche Rijn,0,279,2.5641026
70,391,0,0,0,2360.795,2416,42,0,257,7793,30202,36145,Kromme Rijn,60,796,6.8965516
68,285,0,0,0,2358.8975,2412,44,0,194,8000,34703,36120,Vaartsche Rijn,0,161,1.7241379
68,257,0,0,0,2356.308,2400,44,0,192,8046,32444,36175,Kromme Rijn,0,70,0.86206895
68,248,0,0,0,2356.923,2412,43,0,245,7928,34726,36164,Kromme Rijn,0,0,0
67,259,0,0,0,2353.2312,2356,43,0,205,8048,34729,36155,Heidelberglaan,0,0,0
68,250,0,0,0,2356.5642,2412,42,0,255,7784,32471,36155,UMC,0,0,0
67,303,0,0,0,2357.5642,2394,43,0,211,7900,34702,36149,Heidelberglaan,0,191,2.586207
68,302,0,0,0,2352.487,2408,45,0,221,8097,34734,36157,Vaartsche Rijn,0,58027,3.4482758
68,245,0,0,0,2355.6921,2363,43,0,251,7897,32457,36180,Vaartsche Rijn,0,0,0
66,256,0,0,0,2355.7437,2380,43,0,231,7930,25723,36122,Kromme Rijn,0,0,0
67,237,0,0,0,2355.8462,2392,44,0,227,8012,27983,36115,Vaartsche Rijn,0,0,0
67,263,0,0,0,2354.9236,2374,43,0,204,8006,32441,36144,UMC,0,0,0
68,251,0,0,0,2357.5127,2412,44,0,238,7944,32491,36197,Heidelberglaan,0,136,1.7241379
67,255,0,0,0,2357.5642,2398,43,0,238,7984,34740,36161,Heidelberglaan,0,57603,0.85470086
67,241,0,0,0,2357.1843,2390,43,0,223,7897,32480,36118,Padualaan,0,192,2.6086957
