average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
119,356,101,101,755.6703424260012,2532,2532,107,0,420,8805,10300,5645,Heidelberglaan,0,27122,2.8985507
114,331,22,22,151.84753467770136,2532,2539,104,0,420,8644,10643,5635,Galgenwaard,0,27237,4.347826
112,333,0,0,0,2532,2532,107,0,418,8681,10625,5595,WKZ,0,0,0
115,366,128,128,621.7185150919394,2532,2532,106,0,420,8635,10627,5636,WKZ,0,114,1.4705882
116,346,51,51,633.1903049982604,2532,2532,107,0,420,8663,10296,5609,Galgenwaard,0,60,1.4705882
115,385,51,51,360.36701620591043,2532,2532,105,0,420,8597,10630,5618,Kromme Rijn,0,0,0
113,334,0,0,0,2532,2532,107,0,402,8822,10648,5601,Heidelberglaan,0,139,2.9411764
113,350,51,51,364.0218878248974,2532,2532,107,0,420,8702,10977,5606,WKZ,0,0,0
112,357,12,12,57.67910276951247,2532,2532,106,0,420,8700,10987,5616,Heidelberglaan,0,0,0
117,357,37,37,395.1899329648359,2532,2532,108,0,420,8740,9948,5595,Galgenwaard,0,27192,4.347826
114,330,109,109,770.6422018348624,2532,2532,108,0,420,8677,10291,5595,Kromme Rijn,0,71,1.4705882
115,428,83,83,399.0386816205081,2532,2532,106,0,420,8728,10295,5588,WKZ,0,27032,1.4492754
119,375,99,99,714.1931752458067,2530.682,2532,106,0,420,8621,9969,5606,Kromme Rijn,0,96,1.4705882
115,439,58,58,457.4707259953161,2532,2532,107,0,420,8614,10637,5606,Galgenwaard,0,27149,2.8985507
114,342,113,113,545.4545454545454,2531.5457,2532,106,0,420,8613,10615,5605,WKZ,0,78,1.4705882
120,341,92,92,865.5001726718085,2532,2532,107,0,420,8664,9951,5610,Heidelberglaan,0,27005,1.4492754
116,313,81,81,744.4939965694683,2532,2532,109,0,420,8735,9966,5587,WKZ,0,94,1.4705882
112,305,0,0,0,2532,2532,105,0,407,8647,10309,5670,Heidelberglaan,0,0,0
111,320,25,25,142.0169014084507,2532,2532,108,0,420,8816,10626,5596,Padualaan,0,0,0
120,340,128,128,1201.8682748019392,2532,2532,107,0,420,8713,10306,5672,WKZ,0,0,0
118,473,51,51,487.7687090470169,2533.1365,2557,106,0,420,8594,9966,5623,Galgenwaard,0,0,0
119,369,160,160,878.1183932346723,2532,2532,108,0,420,8640,10639,5617,Heidelberglaan,0,512,5.882353
113,383,4,4,19.049778886495066,2532,2532,107,0,420,8721,9957,5610,WKZ,0,311,2.9411764
112,306,0,0,0,2532,2532,107,0,417,8658,9958,5595,Padualaan,0,60,1.4925373
116,335,86,86,636.8869936034115,2532,2532,107,0,420,8650,10297,5624,Galgenwaard,0,69,1.4705882
118,373,131,131,670.3248765928138,2532,2532,106,0,420,8658,10963,5676,Galgenwaard,0,156,2.9411764
116,371,129,129,640.4111136209623,2532.1365,2535,107,0,420,8850,9301,5655,WKZ,0,77,1.4705882
116,333,85,85,536.897152818129,2532,2532,105,0,420,8640,9962,5594,Heidelberglaan,0,27131,2.9411764
115,326,77,77,415.308557790658,2532,2532,107,0,420,8839,9966,5636,WKZ,0,27116,2.8985507
115,368,36,36,390.7857863468221,2532,2532,107,0,420,8813,10629,5597,Heidelberglaan,0,61,1.4705882
112,324,33,33,199.95359090381714,2530.9092,2532,108,0,420,8729,10632,5697,WKZ,0,27106,2.8985507
118,340,76,76,865.9115426105718,2532,2532,105,0,420,8536,10633,5606,UMC,0,27131,2.8985507
112,351,53,53,483.1226511786812,2532.5454,2544,108,0,420,8723,10297,5610,Galgenwaard,0,62,1.4925373
112,344,42,42,340.93154551870145,2532.3635,2540,108,0,420,8746,9964,5670,WKZ,0,0,0
113,324,0,0,0,2532,2532,105,0,419,8611,9964,5585,Heidelberglaan,0,72,1.4705882
116,377,41,41,204.63458110516933,2532,2532,108,0,420,8677,10621,5632,Heidelberglaan,0,27316,5.7971015
112,364,44,44,250.68870523415976,2532.5002,2539,109,0,420,8759,9266,5645,Galgenwaard,0,27244,4.347826
110,321,21,21,162.83629730962153,2532,2532,107,0,420,8669,10307,5598,WKZ,0,0,0
115,365,16,16,99.33610892314617,2532,2532,108,0,420,8756,10966,5601,Heidelberglaan,0,62,1.4705882
112,359,68,68,377.841038487816,2532,2532,106,0,420,8638,10645,5682,Heidelberglaan,0,0,0
111,338,11,11,54.19354838709678,2532,2532,106,0,420,8554,10272,5605,Padualaan,0,27170,4.4117646
120,403,143,143,933.3527221963705,2532.409,2541,105,0,420,8655,10307,5633,WKZ,0,27302,5.7971015
113,326,88,88,804.118001204094,2532,2532,107,0,420,8577,9950,5601,Padualaan,0,27007,1.4492754
113,322,0,0,0,2532,2532,107,0,395,8615,9980,5589,Heidelberglaan,0,109,1.4925373
113,315,33,33,224.7295568221473,2531.9092,2532,106,0,420,8667,10304,5596,Galgenwaard,0,27032,1.4492754
123,521,111,111,1195.8401115500812,2532,2532,108,0,420,8691,9946,5607,Kromme Rijn,0,141,1.4705882
114,353,64,64,478.2851286722842,2532,2532,107,0,420,8686,10642,5620,Galgenwaard,0,0,0
118,337,68,68,464.8374215630348,2532,2532,108,0,420,8704,10633,5640,Padualaan,0,0,0
123,415,164,164,1146.4878220967173,2530.7273,2532,108,0,420,8716,10292,5627,Galgenwaard,0,690,7.352941
113,381,27,27,189.4274120829576,2532,2532,108,0,420,8886,10312,5643,WKZ,0,221,2.9411764
