average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
126,425,0,0,0,2405.4285,2460,84,0,369,8020,39791,36263,UMC,60,380,6.6666665
126,400,0,0,0,2397.1428,2442,81,0,364,7839,39772,36218,UMC,0,207,3.2786884
127,462,0,0,0,2400.476,2483,84,0,402,7924,37533,36242,Galgenwaard,83,339,6.557377
132,480,19,19,26.13706779030859,2398.95,2438,84,0,420,7997,39759,36334,Padualaan,78,281,6.6666665
125,458,0,0,0,2395.6191,2447,82,0,345,7940,39736,36199,UMC,0,71,1.6393442
125,480,0,0,0,2401.05,2445,82,0,391,7901,39736,36277,UMC,0,290,5
123,396,0,0,0,2401,2447,81,0,328,7849,37507,36225,UMC,0,70,1.6393442
123,379,0,0,0,2400.1428,2441,82,0,331,8043,39755,36226,Kromme Rijn,0,0,0
123,347,0,0,0,2400.3809,2424,83,0,317,7940,35252,36269,Kromme Rijn,0,65,1.6393442
126,405,0,0,0,2396.524,2440,83,0,376,7922,39760,36212,Kromme Rijn,0,140,3.2786884
126,396,0,0,0,2403.476,2441,83,0,381,7985,37508,36223,UMC,0,130,3.2786884
130,501,0,0,0,2397.5715,2446,82,0,403,7941,39742,36321,Vaartsche Rijn,0,189,3.2786884
122,406,0,0,0,2402,2453,83,0,364,8007,37517,36232,Kromme Rijn,0,94,1.6129032
128,473,0,0,0,2399.4285,2457,84,0,354,8018,35270,36223,Kromme Rijn,0,210,3.2786884
128,449,0,0,0,2395.35,2443,82,0,356,7855,39759,36293,UMC,124,436,9.836065
126,475,0,0,0,2394.476,2458,81,0,317,7736,39785,36376,Vaartsche Rijn,78,227,4.9180326
129,449,0,0,0,2401.65,2459,81,0,411,7880,37505,36222,Kromme Rijn,85,389,6.6666665
131,445,0,0,0,2398.0952,2438,83,0,381,7951,39751,36244,Padualaan,64,296,6.557377
126,498,0,0,0,2404.25,2487,84,0,397,8082,37522,36178,Kromme Rijn,87,229,5
125,387,0,0,0,2398.5715,2438,81,0,405,7811,35250,36216,UMC,0,76,1.6393442
126,408,0,0,0,2398.3333,2449,81,0,331,7991,39746,36240,UMC,0,0,0
124,375,0,0,0,2404.6667,2457,82,0,389,7858,37499,36245,UMC,0,94,1.6393442
125,422,0,0,0,2397.1428,2458,81,0,380,7886,37497,36189,Kromme Rijn,0,65,1.6393442
123,391,0,0,0,2403.8096,2443,80,0,331,7725,37526,36250,Heidelberglaan,0,63,1.6393442
124,362,0,0,0,2400.2856,2425,82,0,370,7991,39755,36202,Padualaan,0,0,0
124,368,0,0,0,2397.25,2433,81,0,363,7908,37498,36264,Padualaan,0,0,0
126,411,0,0,0,2402.238,2455,83,0,378,7939,35256,36193,Kromme Rijn,0,351,4.9180326
126,478,0,0,0,2390.238,2454,83,0,395,7900,37530,36357,Vaartsche Rijn,85,639,9.836065
124,359,0,0,0,2410.65,2453,84,0,383,8049,37518,36306,UMC,0,146,3.3333333
126,400,0,0,0,2399.619,2458,80,0,393,7902,39762,36210,Kromme Rijn,0,78,1.6393442
129,484,17,17,1.4858284430016233,2396.0476,2436,84,0,420,7955,39766,36235,UMC,0,311,4.9180326
124,417,0,0,0,2401.7144,2455,82,0,361,7928,37496,36232,Vaartsche Rijn,0,185,3.2258065
126,386,0,0,0,2403.5713,2443,81,0,361,7861,39766,36225,Galgenwaard,0,122,1.6666666
127,399,0,0,0,2397.95,2454,82,0,393,7917,37523,36242,Kromme Rijn,0,208,3.3333333
125,406,0,0,0,2399.714,2457,81,0,339,7871,39769,36262,UMC,0,0,0
127,393,0,0,0,2402.2854,2451,81,0,417,8017,35265,36201,UMC,0,137,3.2786884
129,465,0,0,0,2396.524,2418,82,0,349,7864,37511,36235,UMC,0,514,8.196721
129,421,0,0,0,2402.1997,2457,84,0,407,8009,37536,36278,UMC,62,475,10
125,370,0,0,0,2403.9,2455,81,0,376,7908,39763,36270,Padualaan,0,71,1.6666666
125,378,0,0,0,2400.65,2459,82,0,327,7945,35252,36193,Padualaan,0,109,1.6666666
127,401,0,0,0,2402.857,2445,82,0,366,7903,37504,36183,Padualaan,0,0,0
125,463,0,0,0,2399.9048,2452,84,0,386,8087,39770,36260,Padualaan,73,151,3.2786884
128,416,0,0,0,2397.4285,2444,84,0,319,8032,35281,36300,Heidelberglaan,0,409,8.196721
128,402,0,0,0,2399.1904,2429,81,0,374,7747,39779,36235,UMC,0,179,3.2786884
126,396,0,0,0,2402.2,2458,83,0,382,8018,37500,36216,Galgenwaard,0,302,5
127,398,0,0,0,2397.0476,2451,83,0,357,7953,37540,36249,Kromme Rijn,87,188,4.9180326
125,388,0,0,0,2401.85,2456,80,0,318,7848,39757,36208,UMC,0,161,3.3333333
127,380,0,0,0,2398.476,2452,82,0,348,7871,37528,36231,Vaartsche Rijn,0,341,6.557377
125,376,0,0,0,2402.8,2457,82,0,384,8005,37508,36314,Kromme Rijn,0,64,1.6393442
128,487,0,0,0,2394.9524,2432,82,0,367,7946,37536,36301,WKZ,106,211,4.9180326
