average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
2765,36190,51324,51324,303498.60931848804,2569.9172,2767,301,13,420,237188,38621,3827,UMC,1271,9886,22.02381
2798,35954,52099,52099,317503.17547918746,2570.2656,2709,300,6,420,237599,38199,3821,Padualaan,340,7908,19.345238
2774,36184,51444,51444,307112.55454255204,2570.513,2653,299,8,420,237225,38443,3847,WKZ,155,7527,16.964285
2937,35665,51454,51454,332088.4396141096,2571.4175,2712,300,12,420,237569,38410,3841,Padualaan,627,9312,21.428572
2765,35865,51635,51635,308507.0255636114,2570.1003,2761,300,17,420,237591,38331,3903,Padualaan,335,8422,18.452381
2756,35763,51774,51774,308651.3686150792,2569.7852,2752,300,13,420,237338,38183,3907,Kromme Rijn,998,11677,25.074627
2789,35908,51834,51834,310817.428733513,2570.3545,2817,300,13,420,237830,38440,3806,UMC,1028,11563,22.619047
2703,36187,51860,51860,302479.65200854366,2571.1902,2803,301,6,420,236692,38134,3855,WKZ,924,13538,27.97619
2703,36123,51931,51931,303845.5961823876,2571.8098,2756,299,13,420,237554,38454,3855,Padualaan,882,9929,23.511906
2734,36069,51882,51882,306039.18625742436,2570.3506,2922,301,13,420,237507,38257,3789,UMC,2204,11943,26.047905
2865,35891,51260,51260,321467.51216958166,2570.228,2759,300,14,420,236966,38073,3875,WKZ,565,9065,21.130953
2752,35943,51443,51443,308637.98137945216,2570.3958,2783,300,8,420,237632,38217,3977,Kromme Rijn,1094,10276,23.283583
2787,35875,51627,51627,311359.96279703797,2570.0823,3119,302,13,420,237710,38031,3797,UMC,4564,16518,29.552238
2849,35976,51392,51392,312487.4903178585,2571.4807,2799,301,12,420,237967,38424,3941,Kromme Rijn,1266,11037,25.892857
2795,36087,51916,51916,308507.43800480786,2570.1145,2748,301,16,420,237811,38651,3858,Kromme Rijn,569,9994,22.686567
2856,35926,51950,51950,320910.3334819249,2570.8423,2932,299,8,420,237799,38415,3807,Padualaan,1584,10229,21.130953
2801,35917,51906,51906,311478.63360647013,2571.2095,2851,300,10,420,238028,38458,3824,WKZ,983,9704,21.72619
2787,35991,51502,51502,311619.2227762449,2570.191,2844,302,4,420,236766,38437,3822,UMC,1537,12505,27.97619
2824,35694,51361,51361,310907.01743192755,2570.2915,2713,300,10,420,237884,38197,3893,Kromme Rijn,425,9198,20.597015
2726,35636,51545,51545,307147.8507284825,2569.962,2941,300,9,420,236917,38354,3869,Kromme Rijn,1160,10706,22.619047
2865,35768,51730,51730,318054.19766130805,2570.4429,2915,300,11,420,238129,37733,3939,Galgenwaard,1423,11171,23.511906
2785,36374,51839,51839,306568.31188171473,2570.2207,2809,299,6,420,237586,38365,3871,Kromme Rijn,632,9125,21.428572
2876,36529,51978,51978,320433.2849362221,2570.313,2688,299,8,420,237621,38107,3896,WKZ,286,8940,20.895523
2774,36000,52004,52004,310163.9586389698,2570.2974,2727,301,8,420,237843,38147,3818,WKZ,895,10617,23.880596
2753,35803,51516,51516,307863.48117546184,2569.885,2775,300,7,420,237225,38659,3911,Kromme Rijn,1438,11887,25.074627
2772,35965,51562,51562,309175.2518824525,2571.5354,2733,301,15,420,237432,38441,3827,UMC,616,9869,22.985075
2863,36235,52178,52178,313794.08313409437,2570.2283,2829,302,5,420,238998,38674,3901,Kromme Rijn,905,12449,24.404762
2786,36161,52187,52187,310265.9169415186,2570.905,2797,300,11,420,238115,38229,3918,WKZ,654,9416,19.701492
2669,35998,51684,51684,298947.31193466985,2570.189,2689,300,16,420,237629,38168,3825,Padualaan,258,7860,18.452381
2845,35653,51677,51677,317758.0457610414,2568.696,2984,301,7,420,237903,38675,3920,Kromme Rijn,2153,15384,31.845238
2783,35808,51415,51415,314998.9226380503,2570.3105,2826,301,9,420,236678,38503,3835,UMC,1048,9893,21.130953
2826,35892,51792,51792,316704.6665955404,2572.792,2835,301,5,420,237310,38658,3879,Kromme Rijn,1240,9798,22.38806
2752,35888,51619,51619,309389.857663871,2568.709,2692,300,2,420,237330,38420,3854,WKZ,639,10832,23.809525
2809,36028,52070,52070,316712.99259731517,2569.9744,2942,299,14,420,237836,37989,3860,Padualaan,1265,8214,18.154762
2863,35733,51335,51335,323446.28166634723,2570.62,2670,300,15,420,236896,38153,3867,WKZ,333,9752,22.619047
2924,35667,51088,51088,324979.6974866049,2569.2163,2919,300,6,420,237178,38427,3848,UMC,1367,11081,24.179104
2955,35762,51189,51189,331137.52494444995,2569.4868,2883,300,8,420,237500,38326,3861,Kromme Rijn,1539,11879,25.595238
2797,35842,51901,51901,314589.1000808821,2569.2717,2894,300,9,420,237677,38703,3900,UMC,1653,12236,25.595238
2739,35989,51367,51367,305357.3778985996,2570.0764,2857,300,18,420,236663,38052,3811,UMC,1308,9029,19.701492
2937,35531,50918,50918,328568.76672376937,2570.3987,2940,303,5,420,236546,38344,3880,Kromme Rijn,3758,19566,38.988094
2756,35882,51422,51422,311112.3990805511,2570.133,2720,299,6,420,237258,37701,3819,UMC,426,7900,19.047619
2793,35742,51408,51408,311651.99390524783,2570.1968,2911,300,11,420,237605,38430,3946,Kromme Rijn,1122,9807,21.72619
2694,36390,51921,51921,299313.99068091717,2570.0825,2655,299,7,420,238250,38636,3829,UMC,85,6907,17.261906
2686,36110,52229,52229,301978.261609479,2570.8418,2951,301,5,420,237901,38641,3828,UMC,1725,11482,25.892857
2775,36354,51785,51785,303575.2440799517,2570.8535,2741,299,4,420,238180,38334,3832,WKZ,500,10798,23.58209
2786,35569,51038,51038,315347.91848493234,2569.9944,2725,300,4,420,237002,38374,3849,Padualaan,791,9191,20.535715
2781,35595,51029,51029,311509.6641783109,2570.0566,2758,299,11,420,236868,38426,3887,Padualaan,401,8034,18.154762
2811,36014,52169,52169,315832.2842725812,2570.6846,2759,300,4,420,237653,37904,3898,Padualaan,322,9468,22.02381
2708,36117,51433,51433,305391.9838956187,2571.4553,2798,301,5,420,236265,38233,3899,Kromme Rijn,1405,10550,22.916666
2879,35778,51422,51422,321923.4829074952,2570.2095,2684,299,5,420,237562,38124,3879,UMC,114,6815,15.476191
