average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
119,713,154,154,168.15358424588203,2249.7383,2307,85,0,420,43479,40220,3780,Padualaan,0,1857,5.194805
119,470,54,54,80.89444261756002,2250,2338,84,0,420,42604,40235,3865,Kromme Rijn,221,2785,8.051948
122,500,177,177,275.89575785906277,2250,2428,85,0,420,42810,40500,3820,UMC,510,3904,9.635417
121,603,87,87,88.65171388395842,2250.0002,2385,86,0,420,43390,40299,3812,Kromme Rijn,765,3737,9.61039
120,513,264,264,301.32538259066877,2249.7708,2438,85,0,420,42957,40398,3799,Vaartsche Rijn,325,3128,8.051948
119,445,73,73,107.28399934985022,2249.593,2335,86,0,420,43066,40231,3835,WKZ,303,3504,9.114583
119,387,167,167,261.4360648094184,2249.5405,2331,85,0,420,42893,40011,3770,Heidelberglaan,201,1902,5.194805
119,476,56,56,156.35817978782802,2250.2021,2396,86,0,420,42987,40463,3842,UMC,505,3372,9.87013
119,451,43,43,41.76281532520983,2249.8538,2356,85,0,420,43264,40241,3805,UMC,304,3359,8.571428
119,523,125,125,147.59305675935252,2249.394,2308,85,0,420,42686,40213,3788,Padualaan,62,2665,7.03125
118,410,97,97,96.12663724872172,2249.907,2365,84,0,420,42851,40228,3827,WKZ,184,2523,7.03125
122,588,117,117,146.98537943838477,2250.2725,2434,85,0,420,43065,40510,3803,UMC,964,3630,9.61039
119,552,17,17,16.725228390723824,2250.3118,2359,84,0,420,42673,40487,3828,UMC,448,3413,8.59375
122,654,26,26,25.617761522952126,2249.7168,2570,85,0,420,42670,40299,3812,Heidelberglaan,1240,5197,11.948052
118,451,0,0,0,2249.727,2373,85,0,394,43080,40450,3872,UMC,277,2040,5.194805
121,508,22,22,26.65464002061711,2250.0884,2422,85,0,420,42682,40505,3783,Heidelberglaan,849,4148,10.909091
120,537,82,82,92.61279242480505,2249.6938,2427,85,0,420,43105,40211,3793,Kromme Rijn,460,2706,7.2727275
120,459,61,61,76.774521821588,2250.0002,2476,86,0,420,43259,40010,3794,UMC,656,3007,8.355091
122,524,130,130,280.68587869506706,2250.0005,2431,85,0,420,43106,40208,3817,Kromme Rijn,822,2535,7.2727275
121,525,104,104,185.24456268085504,2250.0002,2406,85,0,420,42856,40205,3808,UMC,497,3322,9.090909
117,426,9,9,8.80195599022005,2250.0007,2302,85,0,420,42964,40248,3784,Heidelberglaan,0,1852,4.935065
136,730,511,511,1417.9348828629404,2250.0005,2654,86,0,420,43389,40586,3817,Heidelberglaan,3065,7586,15.584415
119,450,148,148,150.7421647442619,2249.9995,2388,85,0,420,42932,40445,3801,Kromme Rijn,507,3823,9.87013
119,427,120,120,116.28293268121625,2249.8076,2314,86,0,420,43336,40221,3840,Kromme Rijn,169,2900,8.072917
121,440,96,96,131.01128825788433,2249.8477,2332,85,0,420,42995,40021,3802,UMC,357,2973,8.311688
120,535,43,43,58.40843275802155,2249.9182,2370,85,0,420,43165,40494,3818,UMC,353,2974,8.311688
118,407,39,39,97.66344276015995,2249.6882,2328,85,0,420,43014,40192,3836,UMC,138,2585,7.5324674
118,420,101,101,147.05063995548136,2250.109,2314,85,0,420,43127,40235,3846,UMC,132,2192,6.233766
122,551,100,100,103.5083232586255,2249.847,2513,86,0,420,43028,40556,3893,UMC,1312,4811,11.428572
119,454,96,96,206.02620489557188,2249.6836,2340,86,0,420,43420,40426,3802,UMC,218,2675,8.051948
118,461,20,20,19.57001743172574,2249.4448,2361,85,0,420,43007,40225,3941,Heidelberglaan,332,2260,6.7708335
121,487,67,67,107.46137680992078,2250.0493,2426,86,0,420,43288,40238,3819,Kromme Rijn,490,3561,9.114583
126,562,172,172,274.41936692264466,2249.9883,2549,85,0,420,42725,40545,3837,UMC,2364,5942,15.064935
120,488,44,44,118.20359002976191,2249.8145,2416,85,0,420,43041,40064,3773,Kromme Rijn,470,3381,9.326425
118,401,122,122,118.43686448511738,2250.1543,2307,85,0,420,43281,40036,3876,Vaartsche Rijn,97,1868,5.4545455
119,491,84,84,193.9616161147339,2250.2412,2407,85,0,420,43079,40186,3785,Kromme Rijn,358,2822,6.5104165
119,438,58,58,116.40852451379993,2249.8354,2307,85,0,420,42943,40438,3785,Heidelberglaan,0,2548,5.974026
121,528,104,104,190.8029197080292,2250.5464,2399,85,0,420,43153,40380,3825,Heidelberglaan,399,2558,7.7922077
118,424,43,43,50.364256731833265,2250.56,2325,86,0,420,43359,40426,3833,Kromme Rijn,292,3311,10.15625
120,426,137,137,134.016536625131,2250.2358,2395,85,0,420,42944,40152,3809,Kromme Rijn,208,2206,5.714286
152,1057,228,228,265.8994800693241,2250.0002,2521,87,0,420,43290,40683,3857,Kromme Rijn,9157,14860,24.155844
119,383,101,101,186.2259464729231,2249.594,2309,85,0,420,43091,40263,3841,Kromme Rijn,0,1839,5.714286
130,738,185,185,202.76790071812033,2250.2566,2359,86,0,420,43020,40560,3805,UMC,2998,8127,16.623377
119,429,60,60,102.1210086368583,2249.4807,2309,85,0,420,43186,40209,3816,UMC,0,1707,3.6363637
125,680,24,24,43.17009414976058,2249.9338,2453,86,0,420,43240,40619,3812,Kromme Rijn,2235,6262,13.506494
133,682,147,147,187.40413933290213,2252.593,2473,86,0,420,43292,40596,3806,UMC,3871,7781,16.145834
121,494,0,0,0,2250.2515,2332,85,0,420,43080,40301,3859,Kromme Rijn,326,3268,7.7922077
119,438,51,51,49.212037675166556,2249.7527,2362,87,0,420,43552,40246,3786,Kromme Rijn,268,3828,10.416667
118,465,115,115,111.7917978152194,2250.001,2335,85,0,420,43233,40257,3843,Heidelberglaan,146,2230,6.4935064
