average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
267,3215,154,154,540.0516160747204,2400,2400,144,0,420,8024,40172,36404,UMC,0,831,20
251,2802,108,108,349.1057934508816,2401.6155,2421,138,0,420,7947,37946,36414,UMC,0,328,11.111111
249,2915,117,117,118.64868209380026,2399.5,2436,146,0,420,7952,37969,36424,UMC,0,1618,35.135136
246,2732,117,117,389.5653263184267,2402.5386,2433,141,0,420,7955,40201,36416,UMC,0,735,21.621622
233,2417,88,88,236.07427055702917,2400,2400,142,0,420,7955,35717,36334,UMC,0,803,24.324324
255,2796,93,93,368.3455928188505,2400,2400,139,0,420,7901,40180,36372,Kromme Rijn,0,637,18.918919
232,2334,52,52,112.18286862597337,2411.5835,2486,140,0,420,7830,35697,36375,UMC,225,1276,27.027027
269,2815,174,174,743.8300051203277,2407.1538,2458,140,0,420,7818,35694,36447,Kromme Rijn,0,1187,27.027027
245,2857,83,83,196.01698089649145,2405.923,2482,141,0,420,7884,40215,36312,Heidelberglaan,82,676,16.216217
243,2289,84,84,361.3708690330477,2402.077,2427,144,0,420,8044,37939,36363,Galgenwaard,0,1136,25
256,2432,134,134,485.51472438963003,2393.2307,2400,139,0,420,7865,37957,36530,WKZ,88,693,16.216217
286,3334,149,149,654.0483308420528,2400,2400,142,0,420,8015,35674,36414,Centraal Station,0,960,18.918919
240,2437,135,135,206.09449610454885,2400.6155,2433,138,0,420,7893,35681,36354,UMC,0,589,13.888889
267,3020,125,125,320.2858180937386,2401.0833,2433,147,0,420,8108,40224,36398,UMC,0,1079,28.571428
271,2896,160,160,636.1524047470331,2400,2408,139,0,420,7953,37928,36330,Heidelberglaan,0,686,19.444445
276,2785,136,136,634.9631111666876,2385,2457,142,0,420,7933,37965,36405,Galgenwaard,311,1076,25
222,1897,107,107,115.96166134185304,2397.8335,2405,142,0,420,7758,40212,36376,Heidelberglaan,0,1446,36.11111
