average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
648,1965,1094,1094,51750.4112662014,2401.6667,2452,190,0,420,8540,11175,5782,Galgenwaard,0,0,0
644,1960,1087,1087,51696.203645505964,2401.75,2567,195,0,420,8739,10859,5744,Vaartsche Rijn,167,181,5.5555553
666,2073,1129,1129,54391.37343927355,2395.4167,2421,194,0,420,8731,10832,5789,Galgenwaard,0,93,2.7777777
590,1894,1039,1039,46217.15206012616,2397.9167,2415,190,0,420,8628,10500,5804,Padualaan,0,0,0
683,2175,1178,1178,56658.40978593272,2412.4167,2490,189,0,420,8636,11166,5768,Galgenwaard,201,328,11.111111
655,2022,1122,1122,54533.72529397048,2400.1667,2402,191,0,420,8834,11499,5782,UMC,0,0,0
667,2123,1200,1200,55856.60199407169,2399.9998,2404,189,0,420,8638,11163,5800,Galgenwaard,0,120,2.7777777
630,1942,1155,1155,53459.19098143236,2401.75,2431,196,0,420,8837,11164,5746,Galgenwaard,0,102,2.7777777
616,2319,1112,1112,48236.2129889119,2397.5,2472,194,0,420,8744,11193,5836,Padualaan,72,235,8.333333
658,1956,1100,1100,52409.796178343946,2410.7273,2471,192,0,420,8495,11522,5771,Padualaan,132,349,11.428572
677,2004,1299,1299,57823.68734294406,2401.0835,2470,192,0,420,8846,10847,5759,Galgenwaard,70,63,5.5555553
651,2021,1171,1171,54545.01206757844,2405.75,2469,188,0,420,8747,11182,5781,Galgenwaard,69,111,5.5555553
667,3423,1186,1186,56091.52879711407,2402.75,2433,190,0,420,8730,11507,5789,Galgenwaard,0,0,0
678,1907,1142,1142,56133.39287992854,2392.5833,2429,190,0,420,8600,10837,5749,Vaartsche Rijn,76,0,2.7777777
583,1926,935,935,43674.70846394984,2417.1667,2570,192,0,420,8608,11182,5758,Galgenwaard,170,274,8.333333
659,3324,1060,1060,53295.63302290461,2398.8335,2436,194,0,420,8763,11173,5789,Padualaan,0,0,0
724,1932,1570,1570,60056.254816337016,2434.6665,2928,191,0,420,8573,10847,5814,Galgenwaard,1065,1126,19.444445
643,2124,1195,1195,53655.2073852555,2393.5833,2413,189,0,420,8800,11497,5834,Vaartsche Rijn,77,134,8.333333
704,2008,1255,1255,59752.45079603861,2405.0833,2484,189,0,420,8689,10816,5725,Vaartsche Rijn,84,0,2.7777777
593,2201,1081,1081,46605.308906124636,2396.4167,2453,191,0,420,8612,11153,5836,Padualaan,0,0,0
733,2435,1306,1306,62727.44251048151,2399.9167,2486,190,0,420,8757,11181,5806,Padualaan,143,193,5.5555553
602,1906,1013,1013,48203.22024913861,2401.3333,2498,193,0,420,8683,11181,5794,UMC,98,0,2.7777777
635,1877,1078,1078,50934.535878867675,2401.4165,2530,193,0,420,8788,10830,5797,UMC,130,177,5.5555553
694,1830,1388,1388,60776.729215176,2409.4998,2562,188,0,420,8679,11189,5811,UMC,276,264,11.111111
671,2348,1118,1118,55042.78298303368,2401.9167,2434,193,0,420,8676,10816,5770,Galgenwaard,0,0,0
604,1947,986,986,46787.94168519891,2396.0833,2414,192,0,420,8576,10839,5756,WKZ,0,207,5.5555553
583,2991,1048,1048,43823.11058074781,2403.5,2451,188,0,420,8582,10494,5819,UMC,0,0,0
627,2075,1086,1086,49944.51211259981,2405.3333,2442,188,0,420,8501,11517,5820,UMC,0,68,2.7777777
638,1927,1069,1069,51353.123028391165,2402.5,2421,194,0,420,8755,10823,5757,Vaartsche Rijn,0,106,2.7777777
615,2116,1069,1069,49757.35884399251,2405.5833,2448,191,0,420,8716,11156,5829,Padualaan,0,193,5.5555553
624,2169,1056,1056,49968.17055032226,2404.5833,2446,191,0,420,8683,11508,5774,Padualaan,0,109,2.7777777
711,2785,1238,1238,60413.72573893188,2424.4167,2676,195,0,420,8763,11153,5773,Galgenwaard,276,186,5.5555553
658,2131,1106,1106,53833.75334096984,2402.0833,2464,189,0,420,8638,11184,5749,Padualaan,64,0,2.7777777
651,2975,1080,1080,52617.363423356765,2408.4998,2454,194,0,420,8766,11489,5825,Padualaan,0,94,2.7777777
625,2457,1058,1058,50791.08497723824,2395,2404,191,0,420,8753,10810,5756,WKZ,60,0,2.7777777
621,2039,1112,1112,50305.86580956207,2410.8333,2461,195,0,420,8709,11175,5772,Galgenwaard,140,105,8.333333
664,1936,1076,1076,54969.95583596215,2403,2417,191,0,420,8708,10836,5786,UMC,0,0,0
683,2067,1164,1164,56450.66817952597,2401.0833,2524,193,0,420,8774,10830,5814,Padualaan,126,133,5.5555553
661,2109,1142,1142,54858.32506203474,2400,2419,192,0,420,8671,11173,5784,UMC,0,125,2.7777777
629,2587,1051,1051,50685.376286592706,2401.8333,2469,185,0,420,8443,11200,5765,Galgenwaard,69,0,2.7777777
620,2554,1053,1053,49293.25681492109,2392.6667,2411,190,0,420,8628,10842,5866,Padualaan,88,0,2.7777777
696,2007,1160,1160,58188.44829784521,2395.7498,2430,190,0,420,8717,10831,5820,Padualaan,0,0,0
633,1941,1038,1038,50011.828912298515,2397.5,2428,191,0,420,8647,11180,5756,Galgenwaard,0,83,2.7777777
633,2222,1177,1177,51753.54330708661,2420.4167,2519,193,0,420,8796,10846,5756,Galgenwaard,245,235,11.111111
639,2785,1113,1113,50152.58959098392,2398.25,2468,194,0,420,8661,11480,5812,Padualaan,84,128,5.5555553
632,2210,1083,1083,51941.871860835476,2398.4167,2404,193,0,420,8799,10830,5846,Padualaan,0,89,2.7777777
693,2087,1230,1230,58788.48949919225,2409.0833,2479,191,0,420,8741,10823,5749,Vaartsche Rijn,79,0,2.7777777
604,2529,995,995,46204.20326223337,2399.9167,2415,192,0,420,8633,11184,5756,Galgenwaard,0,0,0
651,2343,1124,1124,53998.74831763122,2400,2420,188,0,420,8630,11164,5809,Galgenwaard,0,0,0
652,1772,1113,1113,53395.02095770355,2401.5002,2421,192,0,420,8675,11180,5810,Padualaan,0,0,0
