average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
88,347,0,0,0,2338.7737,2390,83,0,354,8708,10503,5532,Vaartsche Rijn,0,62,1.0869565
89,280,13,13,62.16554707958556,2342.6772,2398,83,0,420,8738,9816,5536,Heidelberglaan,0,67,1.0869565
94,325,61,61,494.0258530336555,2341.4834,2392,81,0,420,8657,9804,5603,Kromme Rijn,0,361,4.347826
88,266,0,0,0,2339.2903,2411,83,0,368,8702,10160,5563,Galgenwaard,71,278,5.4347825
88,257,0,0,0,2341.3547,2376,82,0,418,8632,10122,5534,Galgenwaard,0,180,2.173913
89,327,15,15,72.45027020811774,2343.2903,2399,83,0,420,8771,10494,5548,Heidelberglaan,0,27229,3.2258065
95,324,47,47,403.2388663967612,2338.7097,2376,81,0,420,8696,10508,5554,Padualaan,0,0,0
85,307,0,0,0,2339.3547,2380,83,0,375,8641,9785,5568,Heidelberglaan,0,62,1.0869565
85,261,0,0,0,2344.7417,2407,83,0,353,8550,9804,5519,Kromme Rijn,67,0,1.0869565
88,293,0,0,0,2335.0322,2364,80,0,370,8530,9792,5634,Galgenwaard,0,168,2.173913
92,339,3,3,14.640371229698376,2341.2258,2377,82,0,420,8678,10140,5601,Heidelberglaan,0,62,1.0869565
91,280,0,0,0,2339.7097,2398,83,0,413,8729,9449,5619,WKZ,0,0,0
96,508,23,23,113.00889096864763,2355.4514,2510,84,0,420,8655,10530,5594,Kromme Rijn,615,1156,15.217391
90,265,0,0,0,2340.1614,2364,80,0,419,8474,9819,5573,Padualaan,0,113,1.0869565
86,271,0,0,0,2335,2384,81,0,347,8650,9812,5595,Vaartsche Rijn,0,113,1.0752689
96,356,104,104,502.0689655172414,2340.6128,2370,81,0,420,8736,10513,5538,UMC,0,492,4.347826
91,341,0,0,0,2344.7742,2420,81,0,417,8593,9494,5525,UMC,80,354,4.347826
87,283,0,0,0,2339.6453,2381,82,0,405,8731,10492,5539,Heidelberglaan,0,195,2.173913
89,315,0,0,0,2344.1292,2409,83,0,397,8770,9805,5550,Padualaan,69,354,4.347826
87,251,0,0,0,2340.5808,2378,80,0,340,8463,10123,5592,Galgenwaard,0,0,0
96,416,16,16,76.346284935242,2354.1292,2564,86,0,420,8763,10185,5553,Kromme Rijn,756,474,10.869565
88,301,0,0,0,2341.0645,2378,84,0,380,8859,10121,5533,Heidelberglaan,0,0,0
85,267,24,24,117.90224508886811,2338.58,2373,81,0,420,8668,9802,5532,Heidelberglaan,0,0,0
89,289,0,0,0,2338.3223,2389,79,0,405,8536,10476,5554,Galgenwaard,0,0,0
93,367,38,38,183.52494826396872,2339.4517,2390,82,0,420,8725,10165,5521,UMC,74,472,5.4347825
87,345,16,16,78.45651667055257,2342.5483,2424,83,0,420,8666,10471,5572,Heidelberglaan,146,147,3.2608695
98,420,202,202,956.2669071235348,2355.2258,2505,83,0,420,8785,10545,5547,UMC,536,1118,15.217391
86,262,0,0,0,2339.0645,2384,82,0,367,8660,10473,5532,Padualaan,0,78,1.0869565
93,333,103,103,507.8060805258834,2341.258,2388,81,0,420,8587,10488,5546,Padualaan,0,470,5.4347825
85,252,0,0,0,2340.0967,2388,82,0,401,8690,10813,5586,Kromme Rijn,0,121,2.173913
85,276,0,0,0,2338.4844,2368,83,0,393,8624,10491,5630,WKZ,0,0,0
87,300,0,0,0,2340.774,2391,82,0,376,8631,10153,5525,UMC,0,68,1.0869565
86,267,0,0,0,2336.0322,2396,83,0,396,8851,9773,5545,UMC,0,0,0
85,275,0,0,0,2342.258,2388,82,0,340,8637,10143,5556,Kromme Rijn,0,62,1.0869565
90,273,7,7,34.14237603065846,2342.1292,2406,82,0,420,8674,9145,5550,Galgenwaard,66,115,2.173913
88,301,0,0,0,2338.9678,2381,79,0,394,8446,10832,5642,Kromme Rijn,0,429,4.347826
97,375,119,119,582.1707231862117,2338.8386,2457,80,0,420,8610,9866,5606,Padualaan,197,729,8.695652
92,328,22,22,107.27969348659003,2341.8064,2414,81,0,420,8679,10515,5576,Padualaan,74,365,4.347826
86,275,0,0,0,2337.8062,2393,81,0,357,8568,9801,5589,Galgenwaard,0,119,1.0869565
92,358,94,94,456.5860992251648,2337.0322,2364,81,0,420,8636,10132,5542,Padualaan,0,71,1.0869565
92,316,12,12,57.14933665948521,2337.3872,2387,82,0,420,8740,10144,5569,Kromme Rijn,0,0,0
90,301,2,2,0.06954102920723226,2342.9033,2382,83,0,420,8641,10147,5547,Padualaan,0,0,0
89,351,25,25,124.73871733966746,2340.4517,2391,80,0,420,8515,10499,5637,WKZ,0,123,1.0989012
88,301,0,0,0,2338.613,2395,80,0,373,8619,10489,5601,Galgenwaard,0,0,0
87,314,0,0,0,2343.8708,2413,84,0,399,8789,10138,5590,WKZ,73,338,4.347826
90,301,24,24,115.95536638674795,2342.3872,2377,82,0,420,8734,10518,5574,Heidelberglaan,0,264,2.173913
93,327,12,12,58.879159369527144,2338.7097,2395,82,0,420,8651,10496,5606,UMC,0,420,4.347826
90,333,0,0,0,2343.807,2397,81,0,399,8602,10151,5590,Kromme Rijn,0,64,1.0869565
92,293,0,0,0,2337.1287,2383,83,0,381,8730,10146,5547,Kromme Rijn,0,0,0
88,289,0,0,0,2338.7097,2378,81,0,393,8624,10481,5559,Kromme Rijn,0,105,1.0869565
