average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
61,248,0,0,0,3240,3240,77,0,223,8685,9923,5524,Kromme Rijn,137250,117546,100
60,265,0,0,0,3240,3240,75,0,202,8675,9564,5578,Heidelberglaan,137250,121500,100
68,300,0,0,0,3318.2122,3347,55,0,319,8757,9279,5575,Galgenwaard,136955,146580,100
60,194,0,0,0,3240,3240,75,0,215,8682,9214,5514,Padualaan,137250,120208,100
60,205,0,0,0,3240,3240,76,0,206,8609,9928,5522,Kromme Rijn,137250,119160,100
70,282,4,4,19.557625145518045,3240,3240,76,0,420,8720,10220,5522,Kromme Rijn,137250,118606,100
59,209,0,0,0,3240,3240,60,0,195,8672,9212,5560,WKZ,137250,143100,100
61,223,0,0,0,3240,3240,77,0,243,8574,9224,5531,Vaartsche Rijn,137250,117042,100
60,247,0,0,0,3240,3240,76,0,212,8554,9540,5510,Galgenwaard,137250,117909,100
73,211,0,0,0,3240,3240,74,0,286,8561,10236,5515,WKZ,137250,121289,100
78,282,0,0,0,3240,3240,71,0,375,8628,9953,5550,Padualaan,137250,114997,100
60,233,0,0,0,3240,3240,75,0,210,8592,9544,5559,Kromme Rijn,137250,120427,100
90,355,117,117,559.1534873136876,3259.2424,3325,66,0,420,8827,9971,5606,UMC,134735,123707,100
60,210,0,0,0,3240,3240,57,0,200,8723,9200,5556,Galgenwaard,137250,148500,100
59,207,0,0,0,3240,3240,79,0,230,8788,9895,5535,Padualaan,137250,118056,100
65,260,0,0,0,3240,3240,69,0,208,8705,9262,5532,WKZ,137250,127134,100
59,255,0,0,0,3240,3240,76,0,226,8586,8559,5529,UMC,137250,118392,100
69,294,0,0,0,3240,3240,74,0,368,8618,9879,5621,Kromme Rijn,137250,119717,100
61,224,0,0,0,3240,3240,76,0,246,8550,10229,5564,Padualaan,137250,118300,100
60,197,0,0,0,3240,3240,77,0,207,8771,9211,5531,Galgenwaard,137250,118518,100
60,214,0,0,0,3240,3240,77,0,229,8831,9223,5518,Padualaan,137250,118248,100
60,246,0,0,0,3240,3240,74,0,192,8441,9885,5586,UMC,137250,118680,100
72,291,0,0,0,3610.6553,3746,52,0,343,8647,10349,5618,Padualaan,138443,163440,100
60,211,0,0,0,3240,3240,76,0,212,8599,9224,5595,WKZ,137250,117576,100
60,209,0,0,0,3240,3240,76,0,232,8565,9234,5519,Vaartsche Rijn,137250,118464,100
60,218,0,0,0,3240,3240,54,0,211,8691,9580,5552,Vaartsche Rijn,137250,150474,100
62,221,0,0,0,3240,3240,77,0,243,8587,9890,5615,Galgenwaard,137250,117555,100
59,237,0,0,0,3240,3240,76,0,216,8590,9553,5558,Padualaan,137250,117900,100
60,229,0,0,0,3240,3240,77,0,207,8714,9892,5560,UMC,137250,119730,100
60,220,0,0,0,3240,3240,76,0,226,8626,9899,5514,Galgenwaard,137250,118560,100
59,227,0,0,0,3240,3240,76,0,198,8645,9577,5549,Vaartsche Rijn,137250,118312,100
60,222,0,0,0,3240,3240,77,0,212,8632,9867,5525,WKZ,137250,117740,100
59,216,0,0,0,3240.7273,3243,75,0,215,8531,9882,5555,WKZ,134124,117654,100
60,215,0,0,0,3240,3240,76,0,205,8674,9518,5514,WKZ,137250,117542,100
60,235,0,0,0,3240,3240,77,0,209,8644,9534,5539,Vaartsche Rijn,137250,117779,100
66,213,0,0,0,3240,3240,76,0,271,8587,9549,5550,Galgenwaard,137250,118937,100
70,231,0,0,0,3240,3240,75,0,284,8526,9533,5524,Vaartsche Rijn,137250,118391,100
77,284,0,0,0,3240,3240,76,0,339,8677,8945,5511,Vaartsche Rijn,137250,110433,100
60,205,0,0,0,3240,3240,77,0,200,8722,9904,5576,UMC,137250,117742,100
71,318,0,0,0,3241.5757,3244,76,0,306,8656,10234,5593,WKZ,134152,118898,100
61,220,0,0,0,3240,3240,78,0,252,8805,9229,5510,WKZ,137250,118290,100
70,213,0,0,0,3240,3240,77,0,301,8790,9210,5564,Padualaan,137250,117820,100
60,239,0,0,0,3240,3240,77,0,208,8645,9875,5554,WKZ,137250,118125,100
60,249,0,0,0,3240,3240,76,0,219,8599,9905,5509,Vaartsche Rijn,137250,118468,100
61,213,0,0,0,3240,3240,78,0,237,8606,8899,5497,Galgenwaard,137250,117366,100
64,208,0,0,0,3245.9395,3268,76,0,262,8615,9585,5571,UMC,134296,118624,100
59,197,0,0,0,3240,3240,77,0,218,8723,8885,5552,Padualaan,137250,117280,100
60,189,0,0,0,3240,3240,77,0,214,8660,9904,5585,Padualaan,137250,118746,100
61,204,0,0,0,3240,3240,77,0,257,8637,9897,5501,UMC,137250,119154,100
97,482,294,294,1685.1692949907235,4161.625,4315,55,0,420,8689,9747,5622,Kromme Rijn,135744,166541,100
