average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
125,444,44,44,308.6003962242163,2475.4543,2521,115,0,420,8617,10337,5610,WKZ,0,0,0
123,375,129,129,745.6503728251864,2476.9092,2535,114,0,420,8588,10322,5655,UMC,60,0,1.5384616
121,333,42,42,228.92264873014034,2474.818,2519,115,0,420,8656,9652,5611,UMC,0,90,1.5384616
121,354,36,36,235.69424964936886,2473.1365,2528,114,0,420,8702,10680,5635,Padualaan,0,0,0
134,409,205,205,2391.9284621720203,2474.4092,2508,117,0,420,8604,9976,5662,Vaartsche Rijn,0,0,0
122,338,38,38,337.9151821629698,2473.7727,2506,116,0,420,8693,10331,5676,Galgenwaard,0,75,1.5384616
129,370,72,72,469.7460391425909,2478.4546,2532,114,0,420,8663,10663,5643,Padualaan,0,76,1.5384616
125,648,90,90,919.9790307548928,2474.0454,2482,115,0,420,8663,10320,5636,Padualaan,0,0,0
125,331,79,79,834.5634154649711,2477,2505,118,0,420,8838,10665,5657,Padualaan,0,0,0
120,359,31,31,343.6907020872865,2470.5454,2495,113,0,420,8563,9978,5633,Padualaan,0,121,1.5384616
121,638,112,112,763.0883567299752,2475.182,2479,113,0,420,8622,9983,5638,Galgenwaard,0,0,0
124,378,85,85,486.8125369603785,2473.2727,2511,114,0,420,8569,10314,5630,Padualaan,0,106,1.5384616
122,329,57,57,447.30871628660725,2474.682,2486,115,0,420,8713,10311,5637,UMC,0,0,0
132,426,156,156,1322.1004779111784,2476.7273,2522,117,0,420,8595,10328,5633,Padualaan,0,0,0
124,473,140,140,851.0356536502547,2476.318,2519,120,0,420,8839,10006,5625,Padualaan,0,0,0
124,361,78,78,609.2132745416569,2476.5002,2533,115,0,420,8661,9997,5606,UMC,0,0,0
124,368,111,111,708.9951285827574,2470.9092,2535,117,0,420,8860,10345,5643,Padualaan,60,135,3.0769231
123,385,60,60,840.0971210544573,2474.4998,2514,116,0,420,8763,10657,5720,Heidelberglaan,0,75,1.5384616
122,433,113,113,552.6897997205402,2473.7144,2524,114,0,420,8645,10653,5620,UMC,0,105,1.5625
130,405,161,161,1501.9752525825859,2474.818,2511,117,0,420,8722,10670,5615,UMC,0,0,0
121,336,40,40,439.6640975497527,2477.2727,2525,116,0,420,8717,10008,5592,UMC,0,79,1.5384616
122,412,64,64,428.06935332708525,2476.818,2523,115,0,420,8637,10647,5635,Padualaan,0,0,0
124,380,67,67,349.5440036479708,2474.8635,2479,117,0,420,8708,10652,5612,Vaartsche Rijn,0,163,1.5384616
123,460,93,93,481.48191916804535,2474.0454,2484,113,0,420,8591,9977,5587,Vaartsche Rijn,0,98,1.5384616
128,350,92,92,1141.5294117647059,2471.182,2487,113,0,420,8611,10327,5645,Padualaan,0,0,0
119,350,20,20,104.36479772888573,2474.4543,2512,113,0,420,8573,9971,5607,Vaartsche Rijn,0,0,0
122,397,48,48,335.7664233576642,2475.9092,2527,117,0,420,8586,10651,5619,Vaartsche Rijn,0,60,1.5384616
134,452,152,152,1440.7887061019717,2471.4092,2512,114,0,420,8633,10325,5631,Padualaan,0,126,1.5384616
121,377,79,79,389.25387142186764,2475.818,2525,114,0,420,8579,9300,5595,Padualaan,0,0,0
121,373,51,51,245.8395500975554,2477.2727,2532,115,0,420,8692,10651,5625,Vaartsche Rijn,0,0,0
119,325,29,29,262.8693939042763,2474.5457,2476,117,0,420,8723,10292,5693,Padualaan,0,0,0
120,386,39,39,280.34276512537383,2475.4092,2503,117,0,420,8726,10334,5643,UMC,0,116,1.5384616
127,458,113,113,1358.7464589235128,2473.0452,2533,114,0,420,8558,10650,5629,Padualaan,0,119,1.5384616
120,455,86,86,534.9849502199584,2475.409,2512,116,0,420,8721,10658,5715,WKZ,0,0,0
121,494,52,52,461.0051993067591,2475.476,2492,117,0,420,8716,10324,5632,Padualaan,0,0,0
120,416,0,0,0,2480.8635,2534,119,0,411,8925,10660,5610,WKZ,0,0,0
128,438,104,104,1175.074524191699,2474.7727,2514,118,0,420,8790,10660,5703,Heidelberglaan,0,141,1.5384616
135,755,135,135,1469.083304287208,2480.6365,2523,115,0,420,8656,10303,5635,UMC,0,0,0
122,467,98,98,760.7009345794393,2472.182,2506,115,0,420,8651,9991,5604,Vaartsche Rijn,0,0,0
120,371,0,0,0,2475.5908,2530,116,0,395,8631,9659,5664,WKZ,0,61,1.5384616
126,401,133,133,1130.7824493069081,2475.5454,2529,118,0,420,8767,10325,5610,Vaartsche Rijn,0,147,3.0769231
