average_waiting_time,longest_waiting_time,longest_queue,most_left_waiting,percentage_left_waiting,average_rtt,max_rtt,avg_tram_load,lowest_tram_load,higest_tram_load,total_passengers,average_empty_time,longest_empty_time,longest_empty_time_station,total_delay_pr,total_delay_uc,punctuality
116,372,0,0,0,2924.9473,2926,72,0,355,7898,37262,36229,WKZ,4016,6906,100
115,336,0,0,0,2936.842,2946,72,0,350,7933,37263,36216,UMC,0,2950,50
131,494,8,8,0.3959415986142044,2947.3157,3010,74,0,420,8008,32780,36255,Heidelberglaan,2705,6290,81.25
118,379,0,0,0,2957.3684,3000,74,0,361,7897,35006,36261,Vaartsche Rijn,979,4841,68.75
127,466,4,4,1.5037593984962405,2931.842,2983,73,0,420,7928,37262,36325,UMC,1738,5429,82.8125
116,358,0,0,0,2927.6316,2935,74,0,345,8111,37257,36226,UMC,0,3362,50
118,378,0,0,0,2933.7896,2998,74,0,392,7991,32763,36278,Vaartsche Rijn,2351,5111,95.2381
115,337,0,0,0,2939.7896,2960,73,0,325,7935,32771,36235,Vaartsche Rijn,0,3953,50
115,340,0,0,0,2925.5789,2950,74,0,307,8033,35009,36255,UMC,0,3748,50
115,349,0,0,0,2930.842,2962,72,0,317,7952,35023,36322,Kromme Rijn,4356,6247,100
118,374,0,0,0,2931,3021,72,0,381,7882,37268,36226,Galgenwaard,1280,5012,75
120,388,0,0,0,2942.5264,3004,71,0,336,7989,37260,36291,Vaartsche Rijn,2945,5072,95.3125
118,355,0,0,0,2953.3333,2975,73,0,307,7939,37271,36218,WKZ,5552,8585,100
117,356,0,0,0,2929.4211,2957,72,0,313,7982,32772,36199,WKZ,0,3684,50
123,392,0,0,0,2947.158,2961,73,0,380,8042,35027,36227,Padualaan,1404,4801,73.4375
115,330,0,0,0,2924,2944,71,0,314,7808,32788,36221,UMC,0,2755,50
117,357,0,0,0,2923.1052,2961,73,0,338,7912,35032,36279,Heidelberglaan,3264,6361,100
129,461,0,0,0,2948.4211,3030,73,0,414,7990,37290,36254,Kromme Rijn,1369,4534,74.60317
136,554,55,55,65.09504752376188,2983.1052,3066,74,0,420,7999,37261,36265,Vaartsche Rijn,2338,5261,76.190475
134,420,10,10,3.076159761845696,2975.9473,3106,75,0,420,8052,35013,36305,Padualaan,6648,10236,100
121,385,0,0,0,2923.4736,2954,72,0,354,7925,35002,36245,UMC,0,3761,50
123,423,0,0,0,2941.158,2990,72,0,386,7971,35023,36246,Vaartsche Rijn,1208,4875,68.75
123,401,0,0,0,2927.8948,2978,74,0,397,7975,37272,36253,Galgenwaard,1437,5418,75
116,347,0,0,0,2930.4211,2942,73,0,284,7909,37267,36246,UMC,272,4912,56.25
133,552,22,22,3.35195530726257,2953,3018,75,0,420,7913,30533,36287,Kromme Rijn,2328,6929,79.36508
116,363,0,0,0,2927,2943,70,0,311,7853,35011,36231,Padualaan,0,3776,50
124,425,0,0,0,2951.4211,2996,75,0,394,7955,35021,36244,Vaartsche Rijn,3551,7145,96.875
122,422,0,0,0,2938.6843,3003,75,0,380,8111,35027,36257,WKZ,4075,7112,100
115,324,0,0,0,2926.158,2948,71,0,326,7941,37283,36228,UMC,0,2571,50
128,485,0,0,0,2975.2222,3100,75,0,417,7911,34993,36295,Heidelberglaan,4452,8262,100
136,633,70,70,92.02101050525263,2975.3684,3071,76,0,420,7931,32745,36251,Galgenwaard,1171,5346,61.904762
115,315,0,0,0,2925.3157,2949,71,0,333,7892,37282,36250,UMC,0,2924,50
118,370,0,0,0,2938.5789,2981,73,0,354,7926,32747,36264,Padualaan,576,4018,64.0625
125,362,0,0,0,2946.8948,2991,72,0,341,7873,32761,36293,Kromme Rijn,1674,4974,74.60317
123,404,0,0,0,2941.7896,3002,73,0,413,7871,30518,36251,Heidelberglaan,2984,6101,95.3125
119,349,0,0,0,2932.5789,2965,72,0,358,8027,35008,36196,WKZ,0,2791,50
133,476,0,0,0,2977.4736,3007,74,0,399,7899,37270,36306,Padualaan,3458,7096,88.888885
119,369,0,0,0,2949.5264,2978,75,0,329,8108,37242,36239,Heidelberglaan,2841,5884,92.06349
117,451,0,0,0,2936,2958,75,0,399,8019,34993,36198,Kromme Rijn,427,4597,60.9375
118,356,0,0,0,2955.6316,2985,73,0,344,7941,30523,36229,Vaartsche Rijn,1052,4412,65.07937
120,421,0,0,0,2942.3684,2998,72,0,348,7899,32754,36292,Galgenwaard,3368,5685,96.82539
116,325,0,0,0,2933.9473,2960,73,0,356,7943,35031,36203,Padualaan,868,4412,71.42857
114,362,0,0,0,2926.35,2952,73,0,304,7870,37276,36198,UMC,0,3121,49.23077
115,323,0,0,0,2927.158,2944,71,0,355,7916,35038,36234,Vaartsche Rijn,0,3307,50
125,464,0,0,0,2935.7896,3017,75,0,347,8206,35014,36270,Padualaan,4728,7876,100
117,360,0,0,0,2934.6316,2974,73,0,329,7961,32767,36211,Galgenwaard,1954,4974,90.625
117,347,0,0,0,2944.7896,2972,75,0,309,8050,37255,36234,Vaartsche Rijn,0,3853,49.20635
114,313,0,0,0,2930.3684,2958,73,0,310,7985,32798,36232,Heidelberglaan,2544,5035,96.875
116,337,0,0,0,2932.2632,2948,74,0,317,8086,35020,36195,Galgenwaard,0,3201,50
134,415,0,0,0,2978.6667,3030,75,0,387,7951,30529,36289,Galgenwaard,5641,9127,100
