stop,direction,time,average,sd,passenger_count,percentage_out
Centraal Station,0,375,0.0,0.0,622,0.014469453376205787
Centraal Station,0,390,0.0,0.0,15,0.6
Centraal Station,0,405,0.0,0.0,172,0.05813953488372093
Centraal Station,0,420,0.0,0.0,432,0.027777777777777776
Centraal Station,0,435,0.0,0.0,180,0.05555555555555555
Centraal Station,0,450,0.0,0.0,250,0.052
Centraal Station,0,465,0.0,0.0,2806,0.00819672131147541
Centraal Station,0,480,0.0,0.0,4001,0.0032491877030742314
Centraal Station,0,495,0.0,0.0,107,0.06542056074766354
Centraal Station,0,510,0.0,0.0,589,0.001697792869269949
Centraal Station,0,525,0.0,0.0,3543,0.004233700254022015
Centraal Station,0,540,0.0,0.0,132,0.07575757575757576
Centraal Station,0,555,0.0,0.0,2513,0.0015917230401910067
Centraal Station,0,570,0.0,0.0,259,0.05791505791505792
Centraal Station,0,585,0.0,0.0,2975,0.0020168067226890756
Centraal Station,0,600,0.0,0.0,367,0.01907356948228883
Centraal Station,0,615,0.0,0.0,2604,0.004608294930875576
Centraal Station,0,630,0.0,0.0,377,0.042440318302387266
Centraal Station,0,645,0.0,0.0,1452,0.011707988980716254
Centraal Station,0,660,0.0,0.0,396,0.08838383838383838
Centraal Station,0,675,0.0,0.0,590,0.00847457627118644
Centraal Station,0,690,0.0,0.0,1857,0.010770059235325794
Centraal Station,0,705,0.0,0.0,1061,0.058435438265786996
Centraal Station,0,720,0.0,0.0,1878,0.025559105431309903
Centraal Station,0,735,0.0,0.0,73,0.3287671232876712
Centraal Station,0,750,0.0,0.0,3376,0.022511848341232227
Centraal Station,0,765,0.0,0.0,2249,0.035126722987994664
Centraal Station,0,780,0.0,0.0,1980,0.06060606060606061
Centraal Station,0,795,0.0,0.0,1449,0.029675638371290544
Centraal Station,0,810,0.0,0.0,14,3.5714285714285716
Centraal Station,0,825,0.0,0.0,151,0.17880794701986755
Centraal Station,0,840,0.0,0.0,1199,0.021684737281067557
Centraal Station,0,855,0.0,0.0,1540,0.04415584415584416
Centraal Station,0,870,0.0,0.0,1240,0.07983870967741935
Centraal Station,0,885,0.0,0.0,1764,0.015306122448979591
Centraal Station,0,900,0.0,0.0,2409,0.0136986301369863
Centraal Station,0,915,0.0,0.0,709,0.10437235543018336
Centraal Station,0,930,0.0,0.0,2067,0.033381712626995644
Centraal Station,0,945,0.0,0.0,254,0.14566929133858267
Centraal Station,0,960,0.0,0.0,1492,0.04691689008042895
Centraal Station,0,975,0.0,0.0,362,0.4281767955801105
Centraal Station,0,990,0.0,0.0,629,0.08744038155802862
Centraal Station,0,1005,0.0,0.0,2718,0.03384841795437822
Centraal Station,0,1020,0.0,0.0,530,0.20566037735849058
Centraal Station,0,1035,0.0,0.0,654,0.1437308868501529
Centraal Station,0,1050,0.0,0.0,549,0.06375227686703097
Centraal Station,0,1065,0.0,0.0,419,0.24343675417661098
Centraal Station,0,1080,0.0,0.0,601,0.15474209650582363
Centraal Station,0,1095,0.0,0.0,1135,0.08105726872246696
Centraal Station,0,1110,0.0,0.0,782,0.01918158567774936
Centraal Station,0,1125,0.0,0.0,882,0.09977324263038549
Centraal Station,0,1140,0.0,0.0,1774,0.019729425028184894
Centraal Station,0,1155,0.0,0.0,639,0.054773082942097026
Centraal Station,0,1170,0.0,0.0,564,0.0549645390070922
Centraal Station,0,1185,0.0,0.0,624,0.07852564102564102
Centraal Station,0,1200,0.0,0.0,646,0.06346749226006192
Centraal Station,0,1215,0.0,0.0,526,0.10266159695817491
Centraal Station,0,1230,0.0,0.0,496,0.04435483870967742
Centraal Station,0,1245,0.0,0.0,534,0.03745318352059925
Centraal Station,0,1260,0.0,0.0,3,7.333333333333333
Centraal Station,0,1275,0.0,0.0,128,0.359375
Centraal Station,0,1290,0.0,0.0,1112,0.03327338129496403
Centraal Station,1,360,5.888888888888889,3.1787694416863097,151,0.0
Centraal Station,1,375,31.736842105263158,8.054274953665274,156,0.0
Centraal Station,1,390,51.65,19.0388724160177,2,0.0
Centraal Station,1,405,61.2,19.00336940598924,974,0.0
Centraal Station,1,420,78.15,24.064606025403673,108,0.0
Centraal Station,1,435,178.25,38.33373700838498,209,0.0
Centraal Station,1,450,222.05,41.6139194668764,480,0.0
Centraal Station,1,465,264.2,55.81622863886725,2214,0.0
Centraal Station,1,480,472.7,91.33048468879286,34,0.0
Centraal Station,1,495,528.3684210526316,87.28105159319011,219,0.0
Centraal Station,1,510,493.94736842105266,82.12185443555485,1071,0.0
Centraal Station,1,525,337.4761904761905,70.44600008331862,3871,0.0
Centraal Station,1,540,266.85714285714283,57.293535240268326,189,0.0
Centraal Station,1,555,344.0,57.87511653486367,2712,0.0
Centraal Station,1,570,316.6190476190476,67.94845951664344,294,0.0
Centraal Station,1,585,244.76190476190476,51.35114291069283,4490,0.0
Centraal Station,1,600,321.14285714285717,73.87543795894538,147,0.0
Centraal Station,1,615,306.85714285714283,67.40492486828569,3441,0.0
Centraal Station,1,630,313.1904761904762,62.2396915049872,79,0.0
Centraal Station,1,645,185.42857142857142,39.56299747530221,1275,0.0
Centraal Station,1,660,160.52380952380952,36.93759778173718,422,0.0
Centraal Station,1,675,145.0952380952381,38.13196972862293,81,0.0
Centraal Station,1,690,176.95238095238096,34.64969124736629,76,0.0
Centraal Station,1,705,127.14285714285714,27.17308679890565,840,0.0
Centraal Station,1,720,201.95238095238096,38.48176556813097,5,0.0
Centraal Station,1,735,203.38095238095238,48.83477343199051,1462,0.0
Centraal Station,1,750,244.33333333333334,48.465881297046444,3460,0.0
Centraal Station,1,765,214.0952380952381,53.561875752828996,100,0.0
Centraal Station,1,780,150.1904761904762,26.88366990046324,2155,0.0
Centraal Station,1,795,104.38095238095238,22.67294191502213,2025,0.0
Centraal Station,1,810,119.85714285714286,24.220757585988423,2008,0.0
Centraal Station,1,825,81.9,21.675763185581708,97,0.0
Centraal Station,1,840,82.38095238095238,19.680928020266922,1391,0.0
Centraal Station,1,855,97.14285714285714,25.859405653639715,978,0.0
Centraal Station,1,870,116.66666666666667,26.006573370640805,1352,0.0
Centraal Station,1,885,105.61904761904762,22.906816064704895,1799,0.0
Centraal Station,1,900,48.19047619047619,11.756772949642777,1538,0.0
Centraal Station,1,915,56.333333333333336,12.922401807267427,764,0.0
Centraal Station,1,930,63.666666666666664,17.281494224335635,1939,0.0
Centraal Station,1,945,38.523809523809526,10.750757549065455,267,0.0
Centraal Station,1,960,42.61904761904762,11.024467084214514,1558,0.0
Centraal Station,1,975,50.61904761904762,11.481203862933105,403,0.0
Centraal Station,1,990,53.523809523809526,14.025512197051839,614,0.0
Centraal Station,1,1005,41.666666666666664,14.238307413904856,3237,0.0
Centraal Station,1,1020,55.904761904761905,14.654117192275061,462,0.0
Centraal Station,1,1035,48.285714285714285,16.424828766230714,631,0.0
Centraal Station,1,1050,53.0,15.264489029997074,131,0.0
Centraal Station,1,1065,39.45,15.48155584650882,454,0.0
Centraal Station,1,1080,34.25,19.378219335516476,630,0.0
Centraal Station,1,1095,37.3,22.690568630201952,969,0.0
Centraal Station,1,1110,49.3,15.414824252085687,825,0.0
Centraal Station,1,1125,23.38888888888889,11.115392393071334,701,0.0
Centraal Station,1,1140,24.31578947368421,11.48454338848982,600,0.0
Centraal Station,1,1155,17.25,8.961173560362916,621,0.0
Centraal Station,1,1170,14.68421052631579,5.68675489946153,793,0.0
Centraal Station,1,1185,14.842105263157896,7.228517274538679,569,0.0
Centraal Station,1,1200,14.5,10.318608637337029,957,0.0
Centraal Station,1,1215,11.3,5.151392249214105,780,0.0
Centraal Station,1,1230,11.789473684210526,4.69726808745042,32,0.0
Centraal Station,1,1245,11.05,2.964260802504253,403,0.0
Centraal Station,1,1260,10.4,4.476840991498123,307,0.0
Heidelberglaan,0,360,3.8333333333333335,2.770644435548397,151,0.0
Heidelberglaan,0,375,7.0,1.4142135623730951,163,0.0
Heidelberglaan,0,390,5.25,1.3642978696377674,11,0.0
Heidelberglaan,0,405,4.8,3.237933063902926,17,0.0
Heidelberglaan,0,420,7.4,2.231735907604285,692,0.001445086705202312
Heidelberglaan,0,435,13.75,3.057209662430814,170,0.0
Heidelberglaan,0,450,13.85,3.405481319032327,498,0.0
Heidelberglaan,0,465,16.0,3.5871196757345776,2711,0.0
Heidelberglaan,0,480,13.0,3.6140145307446057,101,0.0
Heidelberglaan,0,495,13.0,3.0121742102995093,230,0.0
Heidelberglaan,0,510,11.95,3.725731263299553,411,0.0
Heidelberglaan,0,525,11.523809523809524,3.2785237453338585,3559,0.0
Heidelberglaan,0,540,11.285714285714286,3.334534871165324,191,0.005235602094240838
Heidelberglaan,0,555,8.238095238095237,2.8276004618249106,2370,0.0
Heidelberglaan,0,570,9.333333333333334,2.8327289175357975,285,0.0
Heidelberglaan,0,585,12.761904761904763,3.52176287854205,4302,0.0
Heidelberglaan,0,600,11.238095238095237,3.6893818535817706,226,0.0
Heidelberglaan,0,615,20.05,5.0743766361607445,3449,0.00028993911278631486
Heidelberglaan,0,630,30.761904761904763,10.604032241268317,403,0.0
Heidelberglaan,0,645,73.04761904761905,20.345170270867996,1546,0.0
Heidelberglaan,0,660,49.5,13.61749100903225,99,0.0
Heidelberglaan,0,675,40.285714285714285,10.214668837483643,772,0.0
Heidelberglaan,0,690,40.57142857142857,9.847104810337912,232,0.0
Heidelberglaan,0,705,62.142857142857146,12.650098813843313,719,0.0
Heidelberglaan,0,720,65.95238095238095,16.28551521912589,1902,0.0
Heidelberglaan,0,735,69.66666666666667,14.69511404554569,2169,0.0
Heidelberglaan,0,750,111.61904761904762,20.718833540285594,3443,0.0
Heidelberglaan,0,765,170.61904761904762,33.93684512061253,2317,0.0
Heidelberglaan,0,780,128.42857142857142,29.28655101566886,2066,0.0
Heidelberglaan,0,795,69.66666666666667,13.738063865856207,1089,0.0
Heidelberglaan,0,810,65.57142857142857,13.814560624063324,2005,0.0
Heidelberglaan,0,825,78.42857142857143,17.137396268896655,563,0.0
Heidelberglaan,0,840,88.61904761904762,20.913835420255342,1350,0.0
Heidelberglaan,0,855,86.80952380952381,16.16530164351018,1537,0.0
Heidelberglaan,0,870,118.80952380952381,21.09063935714493,934,0.0010706638115631692
Heidelberglaan,0,885,140.28571428571428,28.306050522720845,1698,0.0
Heidelberglaan,0,900,178.66666666666666,37.89442481017477,2402,0.0
Heidelberglaan,0,915,125.42857142857143,25.16297263472376,765,0.0
Heidelberglaan,0,930,114.42857142857143,21.155612495504357,2086,0.0
Heidelberglaan,0,945,103.28571428571429,28.766203219949073,242,0.0
Heidelberglaan,0,960,125.42857142857143,21.595176831970885,1762,0.0
Heidelberglaan,0,975,122.95238095238095,31.230722302722942,409,0.0
Heidelberglaan,0,990,125.04761904761905,27.388980064183276,612,0.0016339869281045752
Heidelberglaan,0,1005,185.23809523809524,31.268690613107353,172,0.0
Heidelberglaan,0,1020,192.8095238095238,33.98939832706628,548,0.0
Heidelberglaan,0,1035,101.52380952380952,26.05857537643512,670,0.0
Heidelberglaan,0,1050,125.95238095238095,33.1058367924843,350,0.0
Heidelberglaan,0,1065,73.3,18.32443352318369,426,0.0
Heidelberglaan,0,1080,54.421052631578945,26.695943270406726,643,0.0
Heidelberglaan,0,1095,41.8,12.196641526097626,84,0.011904761904761904
Heidelberglaan,0,1110,39.05,17.291583229268298,824,0.0
Heidelberglaan,0,1125,39.333333333333336,18.359305612252946,53,0.0
Heidelberglaan,0,1140,43.8,14.271722085370472,541,0.0
Heidelberglaan,0,1155,21.157894736842106,7.179952934242051,637,0.0
Heidelberglaan,0,1170,16.05,8.41253534840373,565,0.0
Heidelberglaan,0,1185,13.055555555555555,5.4175338672328,3,0.0
Heidelberglaan,0,1200,11.25,5.478529521165849,14,0.0
Heidelberglaan,0,1215,8.736842105263158,6.427735952392896,526,0.0
Heidelberglaan,0,1230,7.684210526315789,6.9517131550052955,2,0.0
Heidelberglaan,0,1245,7.928571428571429,10.69579356569675,0,0
Heidelberglaan,0,1260,8.6,4.8089659851317155,480,0.0
Heidelberglaan,0,1275,7.888888888888889,4.444281042747871,224,0.0
Heidelberglaan,0,1290,1.0,0.0,265,0.0
Heidelberglaan,1,375,0.0,0.0,605,0.003305785123966942
Heidelberglaan,1,390,0.0,0.0,14,0.07142857142857142
Heidelberglaan,1,405,0.05,0.2,240,0.03333333333333333
Heidelberglaan,1,420,0.15,0.24462302739504083,659,0.006069802731411229
Heidelberglaan,1,435,0.05,0.13608276348795434,181,0.06077348066298342
Heidelberglaan,1,450,0.05,0.125,345,0.07246376811594203
Heidelberglaan,1,465,0.15,0.20989507868443238,2938,0.0030633083730428863
Heidelberglaan,1,480,0.05,0.1270001270001905,154,0.2597402597402597
Heidelberglaan,1,495,0.1,0.16899482177531733,185,0.02702702702702703
Heidelberglaan,1,510,0.35,0.3907562235912973,532,0.12969924812030076
Heidelberglaan,1,525,0.35,0.3589514644713876,3729,0.014481094127111826
Heidelberglaan,1,540,0.23809523809523808,0.26477164751518606,171,0.5146198830409356
Heidelberglaan,1,555,0.23809523809523808,0.26854307776478736,2606,0.005755947812739831
Heidelberglaan,1,570,0.5238095238095238,0.538910540732296,293,0.14334470989761092
Heidelberglaan,1,585,0.3333333333333333,0.3401136885760013,4305,0.015098722415795587
Heidelberglaan,1,600,0.19047619047619047,0.2370435403783839,342,0.07309941520467836
Heidelberglaan,1,615,0.19047619047619047,0.2233774181740458,2882,0.01179736294240111
Heidelberglaan,1,630,0.23809523809523808,0.2629440931775465,394,0.1751269035532995
Heidelberglaan,1,645,0.23809523809523808,0.30817173607175735,1441,0.015267175572519083
Heidelberglaan,1,660,0.6,0.46107202537934633,333,0.12612612612612611
Heidelberglaan,1,675,0.3333333333333333,0.32973414855699845,939,0.055378061767838126
Heidelberglaan,1,690,0.3333333333333333,0.3423087405623974,258,0.08139534883720931
Heidelberglaan,1,705,0.2857142857142857,0.4024572411895647,1069,0.011225444340505144
Heidelberglaan,1,720,0.38095238095238093,0.3605272240423099,3,10.0
Heidelberglaan,1,735,0.38095238095238093,0.3126364937009625,2470,0.008502024291497975
Heidelberglaan,1,750,0.5714285714285714,0.41603471745560416,2360,0.022033898305084745
Heidelberglaan,1,765,0.8095238095238095,0.6592760855916258,2332,0.011149228130360206
Heidelberglaan,1,780,1.380952380952381,0.9849315154314487,1666,0.006002400960384154
Heidelberglaan,1,795,0.3333333333333333,0.3277692049849241,1092,0.02564102564102564
Heidelberglaan,1,810,0.2857142857142857,0.2857456398198083,1976,0.0
Heidelberglaan,1,825,0.6190476190476191,0.5294906612588747,413,0.0387409200968523
Heidelberglaan,1,840,0.75,0.5455299209189355,1206,0.020729684908789386
Heidelberglaan,1,855,0.2857142857142857,0.3339181291045581,1540,0.0006493506493506494
Heidelberglaan,1,870,0.47619047619047616,0.3842405385645922,1285,0.008560311284046693
Heidelberglaan,1,885,0.6666666666666666,0.6291528696058958,1786,0.006718924972004479
Heidelberglaan,1,900,1.3333333333333333,0.8849537321179365,2617,0.0
Heidelberglaan,1,915,1.2380952380952381,1.1021510069429068,613,0.011419249592169658
Heidelberglaan,1,930,0.6666666666666666,0.5118639096524212,2056,0.0024319066147859923
Heidelberglaan,1,945,0.38095238095238093,0.3605272240423099,263,0.0076045627376425855
Heidelberglaan,1,960,0.8571428571428571,0.6524361101646589,1768,0.003959276018099547
Heidelberglaan,1,975,1.2380952380952381,1.4662201701318895,226,0.008849557522123894
Heidelberglaan,1,990,1.2380952380952381,1.3744187553703826,568,0.0017605633802816902
Heidelberglaan,1,1005,0.9523809523809523,0.9409233461834229,197,0.03553299492385787
Heidelberglaan,1,1020,1.5,0.9410963988571648,544,0.011029411764705883
Heidelberglaan,1,1035,1.5238095238095237,1.1670352873719636,654,0.0045871559633027525
Heidelberglaan,1,1050,0.47619047619047616,0.6985833540195117,516,0.025193798449612403
Heidelberglaan,1,1065,0.6842105263157895,0.8496771266264588,447,0.013422818791946308
Heidelberglaan,1,1080,0.21052631578947367,0.4646213682914464,649,0.0015408320493066256
Heidelberglaan,1,1095,0.05555555555555555,0.19245008972987526,958,0.010438413361169102
Heidelberglaan,1,1110,0.0,0.0,1085,0.007373271889400922
Heidelberglaan,1,1125,0.05,0.1690308509457033,15,0.8
Heidelberglaan,1,1140,0.1111111111111111,0.41702882811414954,1032,0.005813953488372093
Heidelberglaan,1,1155,0.0,0.0,614,0.016286644951140065
Heidelberglaan,1,1170,0.0,0.0,863,0.006952491309385863
Heidelberglaan,1,1185,0.05263157894736842,0.19611613513818404,10,0.4
Heidelberglaan,1,1200,0.0,0.0,16,0.6875
Heidelberglaan,1,1215,0.058823529411764705,0.21821789023599236,2,1.0
Heidelberglaan,1,1230,0.058823529411764705,0.20851441405707477,496,0.008064516129032258
Heidelberglaan,1,1245,0.1875,0.34435022157509093,0,0
Heidelberglaan,1,1260,0.0,0.0,0,0
Heidelberglaan,1,1275,0.0,0.0,324,0.006172839506172839
Kromme Rijn,0,375,0.3,0.4701623459816272,0,0
Kromme Rijn,0,390,0.2222222222222222,0.38755338788158983,30,0.0
Kromme Rijn,0,405,0.6,0.5912527648415465,283,0.0
Kromme Rijn,0,420,0.5,0.6069769786668839,304,0.0
Kromme Rijn,0,435,1.0,0.5369034420847467,203,0.0
Kromme Rijn,0,450,2.1,0.9915052731916847,438,0.0
Kromme Rijn,0,465,2.05,0.8425781199382985,2914,0.0
Kromme Rijn,0,480,1.3,0.7911966023006314,150,0.0
Kromme Rijn,0,495,1.5,0.7408885999284684,176,0.0
Kromme Rijn,0,510,1.95,0.8940361845589357,891,0.0
Kromme Rijn,0,525,2.473684210526316,1.4178085186212956,3717,0.0
Kromme Rijn,0,540,2.7,0.9523796653787958,176,0.0
Kromme Rijn,0,555,1.6666666666666667,0.8258889485469533,2071,0.0004828585224529213
Kromme Rijn,0,570,1.3333333333333333,0.7699275690209187,265,0.0
Kromme Rijn,0,585,1.2380952380952381,0.7882798257686485,4089,0.0004891171435558817
Kromme Rijn,0,600,1.8571428571428572,0.7629680551402902,356,0.0056179775280898875
Kromme Rijn,0,615,1.4285714285714286,0.9420359303068386,2392,0.0
Kromme Rijn,0,630,2.5714285714285716,1.198567243238124,401,0.0
Kromme Rijn,0,645,11.904761904761905,6.372612052546143,1541,0.0006489292667099286
Kromme Rijn,0,660,17.238095238095237,5.6915361480508615,237,0.0
Kromme Rijn,0,675,4.5,2.215556777639186,873,0.0
Kromme Rijn,0,690,3.0952380952380953,1.6543559422701541,1741,0.0
Kromme Rijn,0,705,2.857142857142857,1.2239132800741233,1005,0.0009950248756218905
Kromme Rijn,0,720,4.0476190476190474,1.6894568582072018,1914,0.0005224660397074191
Kromme Rijn,0,735,1.8571428571428572,1.0521373517716246,1091,0.0009165902841429881
Kromme Rijn,0,750,4.476190476190476,1.8016008896994267,2956,0.00033829499323410016
Kromme Rijn,0,765,12.380952380952381,5.4185201264146245,2272,0.0035211267605633804
