stop,direction,time,average,sd,dist,param
UMC,0,360,0.05,0.22360679774997896,gamma,(0.3615296951105077  -5.114540663949402e-30  0.557389357148766)
UMC,0,375,0,0,gamma,(0.3615296951105077  -5.114540663949402e-30  0.557389357148766)
UMC,0,390,0.2,0.3148000938676784,expon,(0.0  0.10810810810810811)
UMC,0,405,0.45,0.6761234037828132,gamma,(0.14556066634247167  -2.0666194487880487e-28  0.41588913607749367)
UMC,0,420,1.263157894736842,0.6755205294731985,lognorm,(6.050695443768376  -8.119956480122051e-17  0.004139977287021179)
UMC,0,435,1.25,0.7494555353184393,gamma,(0.10948882446447264  -2.740649796433881e-29  0.5228783026100006)
UMC,0,450,2.6,1.1212685654140926,gamma,(0.5302591609468017  -5.665606680531416e-30  1.4638225014861892)
UMC,0,465,1.6,0.9994348685618164,gamma,(0.22098841027213714  -3.0073861766740146e-29  0.603303104273699)
UMC,0,480,1.9,0.8787099336760588,gamma,(0.24955499462834718  -5.756642633364139e-29  0.7284352188970958)
UMC,0,495,2.5,1.1388511278249185,pareto,(1.8870618128914884  -0.38108063537477244  0.3810806339793869)
UMC,0,510,2.65,1.5981892110162532,gamma,(0.24042481099626908  -1.8765231010141544e-29  2.6060832293998573)
UMC,0,525,3.380952380952381,1.5083617866755659,gamma,(0.7180324396074814  -3.9707555039981774e-29  1.0497584513235618)
UMC,0,540,3.6666666666666665,1.6674763591591475,gamma,(0.26822816921986037  -6.180944457086755e-28  2.089635439575773)
UMC,0,555,2.0952380952380953,1.0187013371928966,gamma,(0.11075729758445596  -1.0163822897421629e-29  1.114977387536518)
UMC,0,570,3.857142857142857,1.3766154524867602,gamma,(0.3156676951345707  -1.694569386012175e-29  0.9461206545807981)
UMC,0,585,4.904761904761905,1.7385439917550565,gamma,(0.18550358725272378  -1.4113680489799614e-27  1.1859580058401096)
UMC,0,600,5.142857142857143,1.807057618909806,lognorm,(9.457345692171149  -1.0174080055255008e-22  0.7677215519776288)
UMC,0,615,5.428571428571429,1.9274630662182897,pareto,(1.2391526526763383  -0.8565166760613596  0.8565166742266415)
UMC,0,630,7.523809523809524,2.360196905671883,lognorm,(11.909571036678916  -1.0697118329474645e-25  2.4550516208534443)
UMC,0,645,13.238095238095237,3.9128914029927606,gamma,(0.25462586436591855  -3.363495722679617e-25  3.4755702980925123)
UMC,0,660,12.1,3.910986622875296,lognorm,(12.919724289972457  -6.661479940684808e-20  0.9252917637559801)
UMC,0,675,9.666666666666666,3.3689065164819496,lognorm,(3.8161404476145178  -2.07127265483712e-09  0.004375661751396906)
UMC,0,690,9.095238095238095,2.5034983133956845,lognorm,(10.558280240501468  -7.774858003448932e-21  0.24127818906075507)
UMC,0,705,11.238095238095237,3.126578880421138,lognorm,(10.84653220056948  -5.772777436244637e-24  1.8116941239599957)
UMC,0,720,15.380952380952381,4.489255634185731,gamma,(0.589569166163363  -5.136497975890087e-28  3.545154405046846)
UMC,0,735,14.571428571428571,4.03411009586917,lognorm,(7.696176989928366  -2.3481623909264102e-26  1.2926229900856288)
UMC,0,750,13.619047619047619,3.339780732075964,lognorm,(3.4295210047267246  -2.3146854433268453e-07  0.029750781229753952)
UMC,0,765,18.238095238095237,5.498776641215516,lognorm,(11.181233719315767  -3.7989435061338127e-25  0.8449535223464144)
UMC,0,780,19.0,5.930341454898655,gamma,(0.5473054861227591  -1.574877730865769e-29  9.869012976019873)
UMC,0,795,11.904761904761905,3.6739239097968768,lognorm,(6.878463330485202  -1.5415199669667355e-21  0.5396318686941046)
UMC,0,810,10.333333333333334,2.5337777366335343,gamma,(0.8654901974932518  -1.357645601429599e-25  2.0196765098797895)
UMC,0,825,9.857142857142858,3.5846756333562833,gamma,(0.3469406500356791  -1.4289440567666975e-29  3.0201628720256264)
UMC,0,840,13.619047619047619,5.4500175698237125,lognorm,(7.46479057813017  -6.113571913078777e-24  5.111617322068131)
UMC,0,855,15.714285714285714,4.901589073715822,lognorm,(11.910451550313756  -8.920154085670649e-24  4.994648068267727)
UMC,0,870,17.476190476190474,5.0662087450591,gamma,(0.4419411039807797  -1.2879417364947908e-29  10.27203830741205)
UMC,0,885,23.0,7.829948824325054,lognorm,(7.8362735355028486  -8.105241225597752e-27  3.6518141281787786)
UMC,0,900,33.333333333333336,11.890741813606182,gamma,(0.35400230375028574  -6.310751757132331e-28  15.06838508991749)
UMC,0,915,25.666666666666668,6.751093923993284,lognorm,(6.5501278264790335  -7.02332167222271e-19  3.057412491529095)
UMC,0,930,27.476190476190474,6.602113263446713,gamma,(0.22826063172028324  -1.1489668896828118e-24  9.289301167456468)
UMC,0,945,26.952380952380953,7.466831291781405,lognorm,(12.447135414747276  -1.6014595498862606e-28  5.185892149183363)
UMC,0,960,39.61904761904762,10.905833971405954,gamma,(0.4575760757134835  -8.866225565616244e-28  20.871106785083757)
UMC,0,975,45.285714285714285,12.347021651474165,gamma,(0.1375202481754208  -2.061797552840762e-27  12.721649236820578)
UMC,0,990,60.23809523809524,17.283806000840404,lognorm,(12.649651526308638  -4.139336894015881e-18  5.44929016848258)
UMC,0,1005,63.42857142857143,15.077052042464485,lognorm,(10.163968076527304  -4.811373545108409e-24  4.30866982627623)
UMC,0,1020,58.857142857142854,15.578110502943238,lognorm,(9.633174581086259  -1.469826051589423e-27  4.334673008766347)
UMC,0,1035,46.23809523809524,16.89610698866899,pareto,(23173.096629006322  -453909.5631475091  453909.56313076534)
UMC,0,1050,26.19047619047619,6.926025163208946,gamma,(0.5733063988612233  -9.978038625347484e-27  5.711454817650026)
UMC,0,1065,17.7,6.4267193099150814,lognorm,(8.785326649412514  -2.4964085875763093e-26  4.344511698472079)
UMC,0,1080,15.65,6.530214198553643,lognorm,(8.111226033391688  -1.4504815844757521e-28  4.148998873588472)
UMC,0,1095,9.631578947368421,4.811470285205835,lognorm,(11.898486080281966  -3.749649394209219e-24  3.062869397454548)
UMC,0,1110,10.894736842105264,3.6275528645281296,gamma,(8.393547412692971  -3.803247878707792  1.2486575550252907)
UMC,0,1125,5.235294117647059,3.334210410926024,norm,(4.684210526315789  3.24528210725642)
UMC,0,1140,6.421052631578948,2.571540494104752,gamma,(0.8353053264069501  -3.0541769975703823e-25  2.8222355760899496)
UMC,0,1155,4.722222222222222,2.674331090875947,lognorm,(0.247575840700169  -5.867822196418782  10.029126593339742)
UMC,0,1170,2.8,1.798147194568157,lognorm,(0.30663914511879353  -3.0599071449916355  5.466036269576016)
UMC,0,1185,3.736842105263158,2.3767883387078337,gamma,(0.6124458267216708  0.9999999999999999  2.942830027172717)
UMC,0,1200,5.2,3.5777087639996634,lognorm,(0.432106654217941  -2.9326861553597463  7.421671475839332)
UMC,0,1215,3.5,2.373094803704315,norm,(3.5  2.3130067012440754)
UMC,0,1230,2.9,2.3373399185263666,gamma,(0.41006084052334846  -5.397428755672411e-27  3.9018680980834954)
UMC,0,1245,1.0588235294117647,1.6759545129303972,gamma,(0.49257176298141925  -5.336021567414771e-29  0.9894759876448709)
UMC,0,1260,3.15,1.7892962380969741,norm,(2.739130434782609  1.7499662432607048)
UMC,0,1275,2.3,2.1788456625132104,gamma,(0.5264745968082882  -5.470948008885637e-28  2.200986608137026)
UMC,1,375,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,390,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,405,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,420,0.05,0.1543033499620919,expon,(0.0  0.023809523809523808)
UMC,1,435,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,450,0.05,0.12803687993289598,expon,(0.0  0.01639344262295082)
UMC,1,465,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,480,0.05,0.1212678125181665,expon,(0.0  0.014705882352941176)
UMC,1,495,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,510,0.05,0.13483997249264842,expon,(0.0  0.01818181818181818)
UMC,1,525,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,540,0.047619047619047616,0.12216944435630521,expon,(0.0  0.014925373134328358)
UMC,1,555,0.047619047619047616,0.11867816581938534,expon,(0.0  0.014084507042253521)
UMC,1,570,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,585,0.047619047619047616,0.1203858530857692,expon,(0.0  0.014492753623188406)
UMC,1,600,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,615,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,630,0.047619047619047616,0.11952286093343938,expon,(0.0  0.014285714285714285)
UMC,1,645,0.09523809523809523,0.16436770598316272,gamma,(0.18474928911179136  -1.3108895317863163e-30  0.5835272789740527)
UMC,1,660,0.05,0.125,expon,(0.0  0.015625)
UMC,1,675,0.047619047619047616,0.11396057645963795,expon,(0.0  0.012987012987012988)
UMC,1,690,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,705,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,720,0.09523809523809523,0.16219218941214866,gamma,(0.17940224644817937  -7.034886175280676e-31  0.5844301720478584)
UMC,1,735,0.047619047619047616,0.11624763874381928,expon,(0.0  0.013513513513513514)
UMC,1,750,0.09523809523809523,0.16436770598316272,gamma,(0.18474938936333557  -1.0034492770837001e-29  0.583527062765427)
UMC,1,765,0.09523809523809523,0.25197631533948484,expon,(0.0  0.031746031746031744)
UMC,1,780,0.047619047619047616,0.11396057645963795,expon,(0.0  0.012987012987012988)
UMC,1,795,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,810,0.047619047619047616,0.1212678125181665,expon,(0.0  0.014705882352941176)
UMC,1,825,1.1904761904761905,2.7950849718747373,expon,(0.0  0.3125)
UMC,1,840,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,855,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,870,0.047619047619047616,0.11547005383792516,expon,(0.0  0.013333333333333334)
UMC,1,885,0.047619047619047616,0.12309149097933274,expon,(0.0  0.015151515151515152)
UMC,1,900,0.047619047619047616,0.125,expon,(0.0  0.015625)
UMC,1,915,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,930,0.09523809523809523,0.17021393345759914,gamma,(0.19962131468611038  -1.6271071663262102e-30  0.5810396624848024)
UMC,1,945,0.047619047619047616,0.12403473458920845,expon,(0.0  0.015384615384615385)
UMC,1,960,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,975,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,990,0.047619047619047616,0.12216944435630521,expon,(0.0  0.014925373134328358)
UMC,1,1005,0.19047619047619047,0.23872115183006284,gamma,(0.44482932253516383  -8.437989879284778e-31  0.5322726306741121)
UMC,1,1020,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,1035,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,1050,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,1065,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,1080,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,1095,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,1110,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,1125,0.05,0.17149858514250885,gamma,(0.19962113309489976  -2.2544280409450613e-30  0.5810400233938583)
UMC,1,1140,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
UMC,1,1155,0.0,0.0,lognorm,(1.5885898221401278  -2.5455697768690653e-20  1.5767989860128996e-19)
