stop,direction,time,average,sd,passenger_count,percentage_out
Centraal Station,0,375,8.263157894736842,3.1063037209869777,622,0.014469453376205787
Centraal Station,0,390,5.833333333333333,1.6966991126265962,15,0.6
Centraal Station,0,405,8.4,2.5334682825055337,172,0.05813953488372093
Centraal Station,0,420,10.0,3.6706517419289884,432,0.027777777777777776
Centraal Station,0,435,18.68421052631579,4.1459917163240885,180,0.05555555555555555
Centraal Station,0,450,28.75,5.296737662396864,250,0.052
Centraal Station,0,465,37.05,6.795481692166599,2806,0.00819672131147541
Centraal Station,0,480,35.65,6.42540253829101,4001,0.0032491877030742314
Centraal Station,0,495,32.31578947368421,6.5808656123485925,107,0.06542056074766354
Centraal Station,0,510,33.526315789473685,6.2028219384406,589,0.001697792869269949
Centraal Station,0,525,25.25,6.597111907636972,3543,0.004233700254022015
Centraal Station,0,540,25.285714285714285,6.671251337312544,132,0.07575757575757576
Centraal Station,0,555,27.666666666666668,6.010788822416712,2513,0.0015917230401910067
Centraal Station,0,570,21.19047619047619,5.193838805590865,259,0.05791505791505792
Centraal Station,0,585,24.857142857142858,4.924173849645602,2975,0.0020168067226890756
Centraal Station,0,600,35.61904761904762,7.812899814330907,367,0.01907356948228883
Centraal Station,0,615,32.23809523809524,7.529827871449966,2604,0.004608294930875576
Centraal Station,0,630,54.35,9.13024870643957,377,0.042440318302387266
Centraal Station,0,645,71.33333333333333,15.253834088203917,1452,0.011707988980716254
Centraal Station,0,660,154.1904761904762,31.18095187505296,396,0.08838383838383838
Centraal Station,0,675,129.15,22.042812057001296,590,0.00847457627118644
Centraal Station,0,690,95.33333333333333,17.579125149609723,1857,0.010770059235325794
Centraal Station,0,705,116.85714285714286,22.939865935049536,1061,0.058435438265786996
Centraal Station,0,720,142.52380952380952,20.811108560877273,1878,0.025559105431309903
Centraal Station,0,735,157.04761904761904,30.732859513005845,73,0.3287671232876712
Centraal Station,0,750,146.47619047619048,26.657115335131092,3376,0.022511848341232227
Centraal Station,0,765,225.66666666666666,30.25741763619827,2249,0.035126722987994664
Centraal Station,0,780,267.9047619047619,42.37113948831753,1980,0.06060606060606061
Centraal Station,0,795,272.0952380952381,40.54311408092479,1449,0.029675638371290544
Centraal Station,0,810,189.28571428571428,29.374639510011534,14,3.5714285714285716
Centraal Station,0,825,172.1904761904762,27.048325153024255,151,0.17880794701986755
Centraal Station,0,840,167.38095238095238,30.423938122058043,1199,0.021684737281067557
Centraal Station,0,855,197.66666666666666,33.39997984799024,1540,0.04415584415584416
Centraal Station,0,870,200.9047619047619,30.312886625511197,1240,0.07983870967741935
Centraal Station,0,885,220.0,30.788196496031738,1764,0.015306122448979591
Centraal Station,0,900,234.47619047619048,41.82270781392435,2409,0.0136986301369863
Centraal Station,0,915,306.14285714285717,46.754977982046945,709,0.10437235543018336
Centraal Station,0,930,320.3333333333333,38.95439610719893,2067,0.033381712626995644
Centraal Station,0,945,273.57142857142856,37.2521068088467,254,0.14566929133858267
Centraal Station,0,960,246.14285714285714,41.201906241363126,1492,0.04691689008042895
Centraal Station,0,975,318.04761904761904,40.7291181138922,362,0.4281767955801105
Centraal Station,0,990,301.8095238095238,42.69112783013711,629,0.08744038155802862
Centraal Station,0,1005,296.4761904761905,49.896801494651754,2718,0.03384841795437822
Centraal Station,0,1020,368.5238095238095,46.16625146497301,530,0.20566037735849058
